stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,16.88,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,1.21,0,0,0,0,1.13,0.95,0,0,0,0,0
 24-34,0,0.62,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,81.83,0,0,0,0,0,0,9.95,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,285.42,0.92,2.45,0,0,2.51,0,21.3,0,0,0,0,0
 48-58,0,0,0.63,0,0,34.79,0,0,0.46,1.91,0,0,0,0,0,0,0,0,0.87,0.52,0,0,571.17,0,1.18,0,0,0,0,23.34,0,0,0,0,0
 60-70,0,0,1.05,0,0,692.04,0,0.96,0,13.84,0,0,0.71,0,0,0,0,0,2.39,0,0,0,1041.69,0,0,0.63,0,0,0,20.44,0,0,0,0,0
 72-82,0,0,4.26,0.89,0,1395.56,0,0,2.22,27.08,0,0,0,0,0,0,0,3.31,6.9,0,0,0,1369.79,5.96,0,0,0,0,0,27.75,0,0.63,1.04,0,0
 84-94,0,0,8.47,6.88,0,928.25,0,0,0,21.4,0,0,1.27,0.71,0.83,0.69,0,0,5.81,0,0.6,0,1042.09,1.29,0,0.72,0,6.57,0,51.08,0,0,0,0,0
 96-106,0,0,9.99,2.02,0,1134.45,0,0.58,8.86,16.77,0.56,0,0,1.45,0.75,0,0,0,23.39,0,0,0,1016.61,0,2.73,0.79,0,0,0,19.59,4.97,0,0.79,1.89,0.85
108-118,0,0.54,4.28,0,4.57,907.19,1.05,0,0.43,19.29,0,0,0,0.53,0,0,3.18,4.76,20.11,0,1.5,1.21,1087.37,0,1.05,2.57,0,0,0,12.39,0,0,0,1.47,5.12
120,0,0,3.24,1.01,0,719.97,0,0,0,12.93,0,0,0,0,0,0,0,0,10.82,0,0,3.67,1392.61,0,8.55,0,0,0,0,40.55,0,0,0,4.8,0
