stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,17.51,0,3.58,0,12.74,0,5.07,0,18.11,1.1,0,0,0,0,0,0,20.57,0,0,6.54,73.43,0,0,0.89,0,0,1.73,40.93,0,78.86,0,0,0,0,0
 24-34,0,8.79,0.67,7.2,0,11.54,0,47.28,0.97,0,9.89,0,0,0,0,0,0,68.28,0,1.51,25.92,508.3,0,0.75,0,1.98,5.04,0,11.42,0.63,107.25,0,0,1.06,0,1.99
 36-46,0,21.53,1.93,3.04,0,3.64,0,51.36,2.75,0,2.22,0,0,0.56,0,0,0,46.05,0.58,15.43,11.18,693.49,0,1.33,1.46,2.85,8.91,0,14.59,0,97.45,0,1.37,0,0,0
 48-58,1.29,2.82,0,20.84,1.32,5.49,3.44,50.17,0.38,0,1.69,3.28,0,4,0,0,0.59,40.19,0,21.49,7.44,625.6,0,1.25,0,0.73,1.53,0,3.01,0,104.08,0,0.51,0,0.5,0
 60-70,0,4.85,0,82.58,4.15,1.85,0.68,98.14,3.6,0,0,0,0.82,0,0,1.45,0,39.74,0,31.39,1.35,810.56,0,2.81,0,0,0,0,2,0,76.47,0,4.5,0,4.22,4.24
 72-82,0,1.47,0.92,121.69,0,8.28,2.69,103.98,1.19,0,0,0.71,0,0,0,0,0,54.49,0,44.42,0.8,945.83,0,3.39,0,3.19,0,1.09,0,0,64.54,0,35.46,2.11,28.74,0
 84-94,0,7.66,9.41,126.75,0,1.22,0.96,116.86,1.67,0,1.1,0,0,0.9,0.69,0,0,28.97,0,78.36,3.1,388.79,0,1.84,0,2.68,0,0,2.16,0,40.93,1.21,32.05,0,23.84,3.39
 96-106,0,1.41,0,66.33,2.29,7.43,0.64,96.13,0.56,0,0,0.69,0.81,2.93,0,0,0,56.38,0,48.05,0,507.47,6.5,5.6,0,11.23,0,0,0.86,0,65.31,0,13.02,1.14,45.9,0
108-118,0,11.06,0,76.99,0,6.35,7.4,114,0.46,0,0,0,0.9,3.84,0,2.5,0,59.18,2.39,54.63,2.48,620.57,0,1.41,0,11.13,0,1.18,1.86,0,21.22,1.33,1.74,1.93,45.48,0.49
120,0,2.81,0,72.07,2.24,8.38,17.28,84.37,0,0,0,8.39,0,7.63,0,0,0,47.97,0,56.01,2.74,813.23,0,8.76,1.51,45.5,0,2.43,0,0,26.87,0,0,0,41.08,3.14
