stage,epidermis,eye,glial,mesenchyme,neural,olfactory,spinal.cord
 24-34,0,0,0,0,12.67,0,2.36
 36-46,0,1.07,0,0,15.53,0,4.65
 48-58,0,11.24,0,0,32.83,0,10.31
 60-70,0,23.15,0,0.82,70.85,0,2.6
 72-82,0,6,0,0.85,52.37,0,5.45
 84-94,0,16.55,0,0,35.67,0.8,0
 96-106,0,6.78,1.79,0,33.01,0,0
108-118,1.2,11.18,0,0,36.34,0,0
120,0,4.11,0,0,53.26,0,0
