stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,0,260.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,292.08,0,0,0,0,12.54,0,0,20.24,0,0,0,0,0,0,0
  7-9,22.29,0,0,0,0,0,12.29,0,0,148.16,3.96,32.33,0,0,0,0,0
 10-12,0,0,0,0,14.78,0,3.16,0,0,183.05,37.71,44.55,6.56,11.96,0,0,0
 14-21,0,0,0.81,3.34,0,0,0,0,0,6.52,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.52,0,0,0.85,0,9.26,0,0,0,0,0.81,1.58,0
 36-46,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.8,1.08,0,1.8,1.05,6.09,0,0,0,0,0,3.71,0
 60-70,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0
 72-82,0,0,0,0,1,0,0,2.33,0,1.96,0,0,0,0,0,0.74,0
 84-94,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.71,0,1.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0.71,0,0,0,0,2.06,0,0,0,0,0,0,0
120,0,0,0,0,2.09,0,0,0,0,5.61,0,0,0,0,0,0,1.46
