stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.13,0,1.89,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0.94,123.64,0,0,0,0,2.51,0,4.89,96.57,0,0,0,0,0
 24-34,0,0.6,0.6,2.36,0,5.75,0.85,0,0,0,0,0,0.6,0,0,0,0,1.55,0,0,1.1,913.24,0,21.42,0,2.67,0,0,0.6,281.37,0,0,2.04,0,0.77
 36-46,0,0,0,0,0,141.83,0,0.57,3.18,0,1.14,0,0,0,0,5.03,0,3.04,0,0,0.64,2340.9,0,27.56,0,3.8,0,0,0,456.34,0,0,0.62,0,0
 48-58,0,0,0,7.22,0,414.45,0,0.4,8.74,0,0.83,0,0,0,0.95,0.6,0.59,8.41,0,4.59,0.96,3237.06,0,21.91,0.64,2.16,0,0,0,518.78,0,0,1.56,0,3.12
 60-70,0,1.17,0,0,0,967.06,0.86,0,21.3,0,0,0,0,0,0,0,0,6.07,0,0,0,2789.96,0,12.79,0,6.58,0,0.71,0,401.87,0,0,2.18,0,0
 72-82,0,1.28,0,13.29,0,1185.87,0,1.7,37.83,0,0,1.75,0,0.93,0,0.64,0,30.23,0,0,0.71,2895.43,0,32.14,2.11,1.54,0,0,0,223.39,0,0,0,0.56,0
 84-94,0,0,0,4.84,0,961.89,0.71,2.56,40.96,0,0,0,0,9.96,0,5.7,0,13.61,0,2.04,0.6,2082.18,1.25,21.4,0.67,2.01,0,0,0,131.99,0,1.25,2.06,0,0
 96-106,0,0,0,15.14,1.27,924.05,0.81,0.74,30.53,0.88,0.58,2.04,0.78,2.7,0,0.82,0,19.11,3.31,5.44,2.23,1816.58,0,44.37,3.85,7.46,0,0,0,80.52,0.83,1.26,1.5,0,0
108-118,0,0,0,33.98,2.39,815.02,0.9,4.12,24.73,0,0,0.91,0.45,0,0.89,3.89,0,9.35,4.21,0,0.79,2169.1,0.44,30.26,1.5,4.05,0,0,0,44.83,0,1.18,0,0,2.03
120,0,0,0,12.32,0,491.31,1.12,0,36,0,0,0,0,0,0,23.22,0,1.91,0,0,0,1676.86,0,19.71,0,3.15,0,0,0,18.61,0,0,2.72,0,16.56
