stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.81,424.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0
  5-6,0,250.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.47,0,11.47,0,0,0,4,0,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,107.32,8.71,0,0,13.66,0,0,10.88,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,7.87,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,112.55,0,0,0,36.45,0,0,0,0,7.07,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,6.58,3.59,0,7.36,0,0,13.61,0,0,0,0,4.84,0,0,0,2.01,2.95,0,0,1.64,62.54,1.62,0,0,1,0,5.2,2.75,3.82,0,0,4.24,20.25,0,0,0.85,0
 24-34,0,0,0,0,0.61,0,0,3.5,0,0,0.65,0,0,0,0,4.81,0,0,4.01,0,3.57,0,0,1.37,17.24,0,0,0,0,0,10.09,0,0,0,0,0,14.76,0,0,1.01,0
 36-46,0,0,0,0,1.21,0,0,2.34,0,0,2.47,0.66,0,0,31.65,0,0,0,0,0,2.34,0,0,0,20.52,0,0,0.61,0,0,43.78,0.81,0,0,0,0,4.78,0,0,0.8,0
 48-58,0,0,0,0,0,0,0,1.03,2.55,0.42,0.55,0,0,0,22.15,0.38,0,0,0,0,1.39,0,0,0.53,18.09,0,1.13,0.74,0,0,50.18,0,0,0,0.55,0,8.14,0,0,0.4,0
 60-70,0,0,0,0,1.95,0,0,4.95,8.76,0,1.54,0,0,0.7,28.5,4.31,0,0.61,0,1.64,6.21,0,0.7,6.19,8.96,0,0,0,0,0,71.62,0,0,0,0,0,0.85,0.77,1.56,0,0
 72-82,0,0,0,0,2.12,0,0,4.59,0.63,0,18.86,5.54,0,0,33.13,1.77,0,0.74,0,0,23.9,0,2.83,2.23,30.48,0,1.82,2.52,0,1.06,72.27,0,0,1.23,0,0,0,0,0.66,0.54,6.81
 84-94,0,0,1.16,0,14.86,0,0,4.84,14.15,0,2.47,0,0,0,35.2,7.81,4.11,0,0,0,27.41,1.61,0,0,12.77,0,0,0.89,0,0,186.37,0,0,0,0,0,0,0,0,2.56,1.67
 96-106,0,0,0,0,13.99,0,0,28.93,13.22,0.81,8.94,5.77,0,0,106.29,20.95,0,5.14,0,0,39.95,7.08,1.83,2.13,16.54,0,0,0.83,0,0,319.68,0,0,0,0,0,0,0,0,2.89,1.88
108-118,0,0,0.8,0,20.5,0,1.21,13.89,27.43,1.56,7.53,2.92,0,0,116.41,12.24,1.98,0.96,2.4,0.78,33.84,2.58,0,3.12,21.37,1.51,0,0,0,0,211.8,0,0,0,0,0,0.42,0.71,4.53,12.61,0.95
120,0,0,0,0,15.43,0,0,31.94,16.89,0,2.6,4.36,0,0,164.02,7.14,0,0,0,0,27.66,1.47,0,1.58,18.01,0,1.77,0,0,0,262.32,0,0,0,0,0,0,0,0,3.75,6.41
