stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,32.44,530.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.14,0,0,0,0
  5-6,97.74,926.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,9.32,13.85,0,0,0,0
  7-9,24.42,17.52,26.86,0,0,62.94,0,0,0,17.89,0,0,0,0,0,0,530.88,12.38,190.95,0,0,0,0,0
 10-12,0,3.56,21.17,0,6.14,43.82,0,0,0,5.9,0,0,0,0,0,0,320.97,0,97.57,0,5.64,28.56,0,0
 14-21,0,0,3.32,2.93,0,0,0,1.48,0,0,0,0,0,1.82,0,0.92,10.52,0,0.98,0,0,0,2.85,3.15
 24-34,0,0,0,1.86,0,0.71,0,0,0,0,0,0,0,0,0,0,6.83,0,0,1.87,0,0,0,0
 36-46,0,0,0,0.59,0,6.68,0,0,0,0,0,0,0,0,0,0,8.3,0,0,5.02,0,0,0,0
 48-58,0,0,0,3.3,0,2.08,0,0,0,0,0,0,0,3.52,0,0,8.82,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,10.29,0,1.74,0,0,0,0,0,0.62,0,0,1.46,0,0,0,0,0,0,0
 72-82,0,0,0,1.73,0,3.57,0,0,0,0,0,0,2.04,0,0.51,0,11.28,0,0,0.55,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.8,0,0.69,0,0,0.64,0,0,3.7,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.65,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.47,0,0,0,0,0,0,3.89,0,0,0,0,0,1.13,0,0,0,0
