stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,92.56,2459.02,0,0,0,0,0,0,0,0,0,0,72.87,0,0
  5-6,120.32,1363.5,0,0,0,0,0,0,0,80,0,0,46.75,0,0
  7-9,22.02,17.21,8.93,0,0,40,9.71,0,0,331.03,18.09,177.79,0,0,0
 10-12,0,0,8.35,0,0,25.67,5.11,0,0,21.34,0,48.04,0,0,0
 14-21,0,0,0,0.95,0.83,0,0,0.81,0,9.46,0,0,0,2.15,1.78
 24-34,0,0,0,0,0,0,0,0,0.69,3.21,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.74,0,0,0.6,0,0
