stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.2,0.94,0,0,0,0,1.77,0,0,0,28.85,0,0,0,0,0,9.26,1.13,8.16,0,0,2.91,4.77,0,0,0.83,0,0,0,1.76,0,0,14.5,0,0,0,0,0,1.23
 24-34,0,4.38,0.68,0,0,0,2.67,0,0,0,0,1.08,0.68,0,0,0,0,12.5,1.72,14.19,0,0,14.24,21.16,0,0,0,0,0,0,0,0,0,8.9,3.22,0,0,0,0,70.86
 36-46,0,0,0,0,0,0,5.91,0.56,0,0,0,0,0,0,0,0,0,14.1,0,4.3,0,0,0.64,3.63,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,27.89
 48-58,0,0,0,0,0,1.34,0.67,13.03,7.68,0.72,0,0,0,0,0,0,0,3.29,4.46,9.19,0,0,1.6,25.48,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0.51,0,16.66
 60-70,0,0,0,0,154.47,5.97,0.56,0,0,0,0,0,0,0,0,2.66,0,13.81,0,22.79,0,0,3.08,202.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,14.98
 72-82,1.26,0,2.91,1.84,1944.2,49.32,5.16,4.21,22.2,16.93,2.5,0,0.87,0,0.61,2.56,0,12.17,0,38.17,0.56,0,15.89,535.09,4.33,0,0.79,0,0,17.5,0,0,0,0,1.66,1.21,1.69,6.1,3.75,7.7
 84-94,1.44,0,11.29,22.61,5224.46,91.42,0,0,10.66,10.24,0,0,0,1.45,0,4.75,0,4.31,0,48.15,0,1.32,4.32,650.38,0,0,8.83,0,0,38.71,0,0.66,0,0,6.48,5.06,8.66,5.77,0,9.83
 96-106,0,0,34.1,82.42,8616.99,307.3,7.35,0,2.7,93.02,22.31,0,3.6,10.56,1.55,14.25,4.35,51.56,0,161.17,0,4.49,20.24,1046.03,0.68,11.9,8.99,0,0,72.02,0,0,0,0,14.35,0,3.79,35.57,14.5,42.85
108-118,2.86,0,42.08,56.9,14948.26,479.61,10.08,20.72,27.92,128.45,15.68,0,2.27,26.78,6.57,15.23,1.3,45.81,5.15,261.62,5.72,14.04,39.24,1350.97,0.96,2.38,15.56,0,16.38,100.3,0,0.92,1.78,0,16.8,1.76,5.62,15.18,16.22,58.59
120,2.96,0,47.19,26.91,5906.45,336.56,21.94,1.35,17.3,117.01,7.09,0,2,12.09,8.31,7.51,0,27.01,0,199.95,0,12.22,4.75,1161.62,6.07,21.41,14.68,0,0,24.88,0,0,0,0,14.14,0,9.46,16.15,13.9,0
