stage,blastomeres,epidermis,eye,glial,gut,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,xanthophores
  3-4,28.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.26,8.87,0,0,4.11,0,0,4.37,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,1.86,0,0,3.18,0,0,0,0,0,3.92,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,3.57,0
 36-46,0,0,0.81,0,0,0,0.86,0,2.14,0,1.74,1.6,0,1.21,0.61,0,0,0,0,0,0,0
 48-58,0,0,0,2.95,0,0,1.61,0,2.15,0,0,3.52,0,1.72,0,0,0,0,0,0,4.18,0
 60-70,0,0,0,0,0,0,0,0,1.35,0,0,4.63,0,0.67,0,0,0,0,0,0,0,0
 72-82,0,0,3.92,1.62,0,1.13,5.89,0,2.63,0,0,1.6,0,0,0,0,0,0.83,0,0,1.63,0
 84-94,0,0,0,0,0,1.11,11.89,0,0.77,0,0,1.58,0,0,0,0,0,0,0,0,1.6,1.5
 96-106,0,1.11,0.7,0,0.56,1.69,3.44,0.63,2.39,1.09,0,8.2,0,4.53,0,0,0,1.01,0,0,4.98,0
108-118,0,0.65,3.51,0,0.48,8.1,2.8,0,0,0,0,5.43,0,0.89,0.78,0,1.28,1.45,0,0.45,0,0
120,0,0,1.11,0,0,0,2.09,0,0,0,0,9.36,0,0,0,0,0,1.26,0,0,19.88,0
