stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,10.12,224.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,172.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.67,17.7,4.32,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,79.99,0,26.06,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,186.67,0,53.34,0,0,0,8.91,0,0,0,0,0
 14-21,0,0,0.94,1.68,3.11,9.75,0,0,0,0,0,0,0,0,0,0,3.89,0,1.3,27.95,0,0,0,0,4.41,0,8.74,2.28,0,0,0
 24-34,0,0,0.79,0.84,0,7.9,4.16,0,0,0.92,0,0,0.69,0,0,0,0,0,0.61,27.48,2.33,1,0,0.61,0,0,0,3.7,0,0,0
 36-46,0,0,0,0,0,4.86,0,0,2.58,0,0,0,0,0,0,0,0,0,1.07,8.42,0,0,0,0,0,0,0.83,8.72,0,0.73,0
 48-58,0,0,0,2.57,0,9.36,0,0,0,0,0,0,0,0,0,0,1.46,0,0,23.83,0.39,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,3.01,0,34.41,0,0,2.25,0,0,1.84,1.1,2,0,0,1.34,0,0,7.61,0,0,0,0,0,0,0,0,0,1.05,0
 72-82,0,0,0,1.44,2.61,4.69,0,0,4.27,2.62,0,0,0,0,0,0,6.31,1.79,0.9,2.29,0,0,0,13.47,0,0,0,1.51,0,0,0
 84-94,0,0,0,3.07,1.03,12.05,0,1.12,6.25,0,0,0.65,0,0,0,0,0.71,0,2.71,3.24,0.61,0,0,8.36,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,16.06,12.02,0,0,5.63,0.8,0.75,0.75,0,0,2.51,0,2.72,0,1.43,15.31,0,0,1.57,10.73,0,0,0,0,0.56,8.05,0
108-118,0,0,0,2.08,6.13,38.22,0,0.8,10.87,0,0,0.49,1.27,0,0,1.02,17.72,5.24,5.66,11.45,2.29,0,0,27.21,0,0,0,0,0,0,0.48
120,0,0,0,9.08,3.72,27.3,0,0,11.39,0,0,0,0,0,0,0,8.63,0,0,22.43,0,0,0,11.79,0,0,0,0,0,10.85,0
