stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.05,0,0,12.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,0,0,0,2.15,0,0,0,0,0,0,0,3.7,0,0,0,0.95,0,0.94,131.64,0,0,0,0,0,0,0.94,18.84,0,0,0,0,0
 24-34,0,0,0,11.66,0,0,5.31,0,0,0,0.63,0,0,0,2.67,0,0,0,3.41,0,0.64,933.08,41.4,0,0,0,0,0,0,83.97,0,0,0,0,0
 36-46,0,2.2,0,12.76,0,0,4.37,0,0,0,14.4,0,0,0,0,0,0,3.44,0,0,0,1824.94,65.75,0,0,0,9.03,0,0,140.09,0,0,2.2,0,0
 48-58,0,1.42,0,6.98,2.61,0,74.54,0,0,0,7.06,0,0,0,0,0,0,14.25,0,0,0,2465,44.25,0,0,0,1.24,0,0,152.88,0,0,0.62,0,10.17
 60-70,0,0,0,15.41,0,0,120.17,0,0,0,18.63,0,0,0,0,0,0,5.76,0,0,0,2764.17,28.64,0,0,0,0.82,0,0,87.49,0,0,0,0,8.97
 72-82,0,2.45,0,3.86,6.3,0,206.84,0,0,1.69,41.73,0,0,0,0,0,0,16.66,0,0,1.55,4108.59,68.1,0,0,0,6.39,0,0,149.44,2.21,1.34,1.09,0,5.82
 84-94,0,1.05,0,7.14,0,0,189.75,3.35,1.24,1.44,27.13,0,1.01,2.29,0,0.67,0.83,24.46,0,0,3.61,2749,58.23,0,0,0,10.12,0,0,53.67,12.48,0,3.77,1.54,13.35
 96-106,0,0,0,10.87,0,0.66,180.58,1.43,0,3.84,23.89,1.71,0.89,4.33,0,4.84,2.16,20.82,0,0,4.42,2157.73,55.57,1.17,0,0,1.81,0,0,37.08,4.25,5.06,10.03,0.61,0
108-118,0,2.86,0,26.36,0,0,104.99,4.79,0,0,62.58,0.58,0,0.64,0,1.01,4.92,15.55,0,3.27,1.16,2870.63,36.84,0.43,0,1.58,0.98,1.88,0,33.4,6.25,0,1.57,1.76,2.63
120,0,0,0,54.08,17.95,0,235.55,0,0,0,22.69,0,0,0,0,0,0,8.03,0,0,3,4260.13,15.88,11.02,0,0,0,0,0,69,5.02,0,0,0,0
