stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,9.36,53.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,6.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.45,0,0,0,9.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.22,0,0,1.74,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,82.47,0,0,0.8,0,0,1.02,2.66,0,37.17,0,0,1.85
 24-34,0,0,0,0.7,0,0,0,13.42,0,0,0,5.79,1.28,0,0.6,0,0,1.07,0,0,0.65,0,0,1.25,219.32,2.74,0,2.06,0,0,3.13,2.7,0.6,65.46,0,0,0
 36-46,0,0,0,0,0,0,0,40.39,0,0,0,10.66,0,0,0,0,0,0.57,0,5.82,0.56,0,0,0,249.79,3.41,0,1.33,0,0,3.29,0.65,0,117.69,0,3.61,0
 48-58,0,0,0,0,0.6,0,0,40.54,0,0,0,36.86,0,0,0,0,0,0.77,0,3.49,4.6,1.58,0,5.01,226.48,0.67,2.27,0.39,0,0,0.47,0,0,73.68,0,1.87,0
 60-70,0,0,0,0,2.88,0,0,19.94,5.04,0,0,54.78,0,0,0,0.67,0.67,0.63,0,0,2.44,0,5.65,0,127.54,0.74,0.84,10.81,0,0,3.21,0,0,27.71,0.59,0,3.95
 72-82,0,0,0,0,1.84,0,0,24.62,0,0.5,0,55.77,1.97,0,3.36,0,0,1.53,0,0,12.79,1.76,0,0,107.42,0,0.49,0.51,0,0,1.27,0,0,8.92,0,2.22,0
 84-94,0,0,1.04,0,1.14,0.76,0,15.24,0,0,0,49.02,0,1.22,0,4.25,2.95,0.69,0,0,10.78,0,0,0,91.84,0.72,0,0.55,0,0.6,8.44,0,0,6.93,1.64,0,0
 96-106,0,0,0,0,0,0,0,38.99,0,0,0,38.25,0,0,2.98,0.73,0,3.03,0,0,6.61,1.66,0,0.7,50.27,0,0.61,4.27,0,0,6.29,0,0,0,0,0,0
108-118,0,0,0.94,0,2.46,0,4.71,46.25,0,0,0.6,40.37,3.8,0,6.66,0,1.63,0,1.88,0,4.64,0.8,0,0,53.76,1.18,0,5.05,0,0,10.04,1.04,0,0,0,1.41,6.07
120,0,0,0,0,5.7,0,0,39.33,1.61,0,0,32.06,1.09,0,2.32,0,2.6,0,0,0,19.98,0,0,0,93.14,2,0,8.31,0,0,5.54,1.58,0,8.68,0,0,0
