stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.87,0,1.57,0,221.88,30.07,0,0,0
 24-34,0,0,0,0,0.68,1.3,0,0,0,0,0,0,0,0,0,0,0.63,0,7.67,17.18,0,0,1.03,0,1.44,0,0,0,59.55,9.06,2.83,1.05,0
 36-46,0,0,0,0,2.22,8.84,0,0,0,0,0,0,0,0,0,0,1.57,0,0,25.57,0,0.94,1.46,0,19.05,0,0,0,41.76,2.02,5.43,0,0
 48-58,0,1.25,0,0,12.14,10.94,0,0,0,0,0,0,0,0,0,0,2.86,0,1.15,35.03,0,0,5.77,0,0.38,0,0,0,19.2,0,2.69,1.5,3.04
 60-70,0,0,3.13,0,6.56,20.4,0,0,0,0,0,0.76,0,1.67,0.57,0,1.01,0,2.02,17.94,0,1.08,12.17,5.14,8.55,0,0,0,12.76,0,10.82,0,0
 72-82,0,0,0.6,0,10.95,18.62,0,0,17.97,0,0,0,0,0,3.46,0,2.79,1.28,8.9,15.41,0,0,12.65,0,4.44,0,0,0,3.12,0,0,0,0
 84-94,0,1.49,7.2,0,4.82,16.1,0,1.18,10.73,0,0,0,0,0,5.68,1.69,8.46,0,5.04,20.16,0,0,46.07,0,6.92,0,0,0,8.62,0,0,0,0
 96-106,0,4.75,12.06,0,23.65,29.29,0,0,12.18,0.74,0,0,0,0,5.59,4.24,6.95,0,5.87,21.1,0,0,84.35,0,2.35,3.39,0,0.63,17.67,0,3.09,0,0
108-118,0,2.18,0.66,3.43,36.05,51.77,3.03,0,1.99,0.65,0,0,1.13,0,4.99,1.75,4.39,0,8.51,33.72,0.72,0.7,53.01,0,6.78,0,0,0,16.57,0,0,0.75,0
120,0,0,0,0,0,18.98,0,0,4.13,0,0,4.14,0,0,2.6,0,3.49,0,0,12.65,0,0,23.12,0,3.29,0,0,0,6.89,0,0,0,0
