stage,epidermis,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,10.54,0,0,0,0,0,0
 14-21,0,0,0,0,0.91,0,2.04,1,0,0,0,1.08,0.94,0
 24-34,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0
 36-46,0.62,0,1.2,0,0,0,0,13.95,0,0,0,0,2.67,0
 48-58,0,1.12,0.51,0,0.5,0,0,27.92,0,2.08,0,0,0.82,0
 60-70,0,1.68,0,0,1.03,5.29,0,33.09,0.74,0,3.92,0,4.66,0
 72-82,0,2.42,1.8,0,0,0,0.64,15.26,0,0.81,0,0,0,0
 84-94,0,0.55,1.73,0,0.88,0,0,37.76,0,0,0,0,0,2.25
 96-106,0,0,0,0,1.96,0,0,12.89,0,0,0.8,0,0,0
108-118,1.22,0.43,0,0,0,0,0,24.82,0,1.01,0,0,0,4.25
120,0,3.72,13.61,1.23,3.84,0,0,45.04,0,0,0,0,0,0
