stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,138.77,2717.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.06,0,0,0,0,0,0,0,0,0
  5-6,486.79,5594.32,0,51.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.39,115.99,0,0,135.38,157.69,0,0,0,0,0,0,0,0,0
  7-9,161.97,151.43,0,308.28,0,5.95,0,564.96,0,0,0,0,0,183.03,0,0,0,0,0,0,0,0,0,0,0,4718.53,133.68,0,0,2161.74,41.38,25.29,0,0,0,0,0,0,0,0
 10-12,0,209.17,0,240.26,0,38.78,0,382.37,0,0,0,0,0,84.61,0,0,0,0,0,0,0,0,0,0,0,4126.46,38.43,0,0,1586.74,8.04,53.08,4.61,186.35,0,0,0,0,0,0
 14-21,1.39,1.28,0,20.08,194.84,70.69,0,108.67,0,0,0,26.54,4.93,9.7,1.07,3.26,1.81,0,0.84,0,0,174.99,0,0,130.5,1725.18,32.6,5.93,23.21,73.89,60.48,2.9,339.07,18.75,0,207.83,546.63,0,8.83,0
 24-34,4.02,0.83,1.29,3.32,63.02,18.9,0,330.85,0,1.34,2.47,67.68,3.07,0,0.92,12.22,1.34,2.82,1.36,0,0,272.24,3.7,1.66,122.6,3255.26,39.36,9.72,20.31,10.77,98.61,0,1.5,2.79,1.16,18.39,820.19,0,55.96,2.99
 36-46,0,0,0,0.6,40.59,9.66,0,784.8,0,10.66,3.64,80.75,2.91,0,10.98,34.89,0,2.6,3.37,0,2.27,266.46,0.63,8.61,92.71,2286.88,22.51,4.52,20.06,0,35.92,0,2.6,2.26,0,0,551.31,0,31.69,5.23
 48-58,0,0,0,0,23.05,15.2,0,1012.41,0,6.83,1.89,101.05,3.85,0,8.23,13.57,0,2.74,0,0.7,8.58,322.04,2.73,15.18,43.64,1196.74,2.94,3.06,7.33,0,14.65,0,0,0,0,0,205.89,0,15.52,9.87
 60-70,0,0,0,0,21.5,2.99,0,736.34,0,1.25,0,111.49,4.35,0,0,24.04,0,0,1.46,0,0,208.8,0,12.55,31.3,516.38,16.09,0,1.7,0,7.23,0,0,0,0,0,29.74,0,13.13,2.96
 72-82,0,0,0,0,29.5,3.37,0,285.81,0.55,0.68,3.85,74.85,2.97,0,2.27,11.31,0.7,2.71,0,1.77,0,166.16,0,13.74,29.28,405.56,0.73,2.09,2.8,0,4.11,0,0,0.77,0,0,16.81,0.71,24.72,7.54
 84-94,0,0,0,0,26.31,6.2,0,266.86,0,0,2.56,52.55,4.62,0,0.8,13.13,0.82,3.06,0.56,0.55,0,180.34,0,16.09,27.41,313.44,8.32,9.08,6.44,0,11.83,0,0,0,0,0,12.46,0.63,22.94,0
 96-106,0,0,0,0,26,9.89,1.14,203.21,0,0,0,76.34,8.66,0,4.4,16.71,0.87,0,0.75,0.76,0,94.65,0,12.42,16.49,272.21,5.43,2.43,3.3,0,12.62,0,0,2.05,0,0,2.49,1.76,23.54,0
108-118,0,0,0,0.51,13.69,11.56,1.65,236.71,0,0,0,89.93,1.48,0,0.63,17.24,0.44,2.7,0,4.3,0,79.71,0,10.19,20.73,398.08,9.47,0.62,3.02,0,5.34,0,0,0,0,0,17.23,0,18.68,0
120,0,0,0,0,27.26,12.54,0,239.65,0,0,19.92,42.62,0,0,0,15.11,1.45,0,0,3.29,0,58.66,0,1.26,6.49,399.21,0,0,4.39,0,7.18,0,0,0,0,0,2.03,0,18.41,0
