stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.88,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,2.43,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,8.76,0,0,0,10.82,8.85,0,0,0,0,0,0,0,193.6,0,0,0,0,0,0,7.49,0.84,0,0,0
 72-82,0,0,1.16,0,1.16,25.24,0,2.09,2.14,18.45,0,0,2.71,0,0,34.55,0.93,0.58,1158.01,0,0,1,0,0,0,1.86,0.52,0,4.01,7.13
 84-94,0,1.42,3.23,0,0,77.67,0,0,0,18.09,0,0.58,1.25,0,0,7.88,0,1.27,1441.59,0,0,2.1,0,0,0,0,0,0,3.45,0
 96-106,0,0,4.21,9.18,0,32.21,0,0,0,16.79,4.06,0,0.99,0.82,7.71,12.35,0.76,0.63,2782.11,6.34,3.4,16.29,1.22,6.18,0,0,0,4.93,0,0
108-118,0,0,0.66,4.01,0.5,55.93,12.14,0,13.12,25.19,0.52,0,3.03,0,0,5.16,0,0.66,2064.49,34.47,0,8.53,0,0,0,0,0,1.26,0,2.17
120,0,0,1.21,2.63,0,19.57,2.57,0,0,22.77,0,0,0,0,55.25,15.72,0,0,3875.05,17.18,4.54,2.8,0,0,0,207.17,2.71,0,0,0
