stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,77.62,716.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.59,0,0,0,0,0,0,0,0,0,0
  5-6,44.94,1247.68,0,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,53.33,0,0,0,0,0,35.91,0,0,0,0,0,0,0,0,0,0
  7-9,30.31,17.4,0,34.8,0,0,0,75.5,0,0,0,0,0,23.81,0,0,0,0,0,0,0,0,0,0,0,923.02,19.19,0,0,220.38,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,21.75,0,21.71,0,22.46,0,67.88,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,745.95,0,0,0,217.6,0,0,0,0,10.55,0,0,0,0,0,0,0
 14-21,0,0,1.05,14.02,90.18,15.89,0,59.55,0,0,0,9.05,4.52,0,0,0.85,3.5,0,0,0,5.88,39.54,0,0,30.66,588.57,5.91,1.09,7.41,14.94,0,32.35,0,95.7,0,0.95,102.51,195.2,0,0.97,0,0
 24-34,0,0,0,2.08,19.5,3.12,0,28.15,0,1,1.78,9.98,0.66,0,0,5.87,7.19,1.45,0.6,0,0,29.51,0,0,10.68,272.29,0.66,0,3.3,0,0,32.59,0,0,3.03,0,3.77,75,0,9.98,0,0
 36-46,0,0,0,0,4.8,8.38,0,50.05,0,0,0,8.91,0,0,0,0,0,0,0,0.57,0,22.48,0,0,2.12,241.95,0,3.01,1.54,0,0,34.93,0,0,0.86,8.59,0,51.46,0,3.46,0,0
 48-58,0,0,0,0,13.72,4.71,0,35.3,0.51,0,1.06,20.86,0,0,0.83,10.6,0.5,0,1.04,0,0,7,0.4,0,1.81,139.8,0,5.8,4.22,0,0,15.39,0,0,0,1.57,0,27.21,0,0.5,0,4.4
 60-70,0,0,0,0,17.25,0,0,131.83,0,0,0,12.84,1.38,0,0,1.82,0,4.3,1.5,0,0.71,21.17,0,0,1.04,190.03,0,11.43,0,0,0,17.04,0,0,0,0,0,15.83,0,1.75,0,0
 72-82,0,0,0,0,6.22,2.17,0.76,122.37,0,0,6.59,15.55,0,0.52,0,2.13,0,0,2.46,0,0,21.95,0.58,0.51,3.64,107.2,0,15.94,3.71,0,0,22.56,0,0,0,0,0,23.19,0,6.89,0,0.89
 84-94,0,0,0,0,4.72,2.34,0,129.66,0,1.81,0,9.31,1.44,0,2.83,0.55,1.73,0,0,0,0,19.07,2.46,0.86,7.15,88.67,4.01,10.61,0,0,0,28.43,0,0,0,0,0,39.79,1.62,1.82,0,5.99
 96-106,0,0,1.38,0,7.97,15.25,0,225.79,0,2.04,0.59,27.55,2.89,0,0,1.89,1.49,0.77,0.71,14.61,0,26.2,2.95,0.78,8.91,153.5,0,10.13,4.29,0,1.82,34.11,0,0,0,0,0,0.99,0,3.94,0.69,5.13
108-118,0,0,0,0.74,6.26,11.36,0,216.09,0,3.94,1.98,30.55,4.55,0,0,6.56,0.52,0.49,1.02,0.97,0,19.89,3.13,2.49,6.22,141.45,1.39,10.07,6.15,0,6.2,51.79,0,0,0,0,0,3.33,5.8,6.28,1.02,0.85
120,0,0,0,0,3.38,1.38,0,87.68,0,4.62,0,19.54,9.88,0,0,0,0,0,0,0,0,10.63,0,1.26,5.44,124.64,0,0,0,0,0,19.04,0,0,0,1.22,0,0,0,0,0,0
