stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,29.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.37,0,0,5.08,0,0,0,24.59,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,67.34,4.19,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,0,0,0,0,27.31,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,157.68,25.17,0,0,16.38,0,0,0,8.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.27,11.92,3.97,0,3.41,0,0,2.17,0.97,0,0.92,0,0,0,0,1.07,20.96,0,0,14.19,94.64,8.05,1.76,0,0.96,0,3.08,6.78,1.28,2.31,4.98,19.01,0,0,4.13,0,3.62
 24-34,0,0,0.84,0,3.67,0,0,28.18,0.71,1.54,8.24,0,0,0,0,0,1.34,0,1.85,31.27,0,0,13.42,235.95,4.61,4.22,0.71,0,1.61,0,0,0,1.01,2.15,52.9,0,0,18.47,0,0.81
 36-46,0,0,0,0,10.55,0,0,88.61,2.74,0,10.31,0,0,0,0,0,0,0,2.5,58.2,0,2.04,6.41,450.96,4.84,3.94,0.89,0,0,1.32,0,0,0,0,88.68,0,0,10.76,0,23.44
 48-58,0,0,0,0,6.49,0,0,108.61,0.44,2.11,29.66,0,0,1.79,2.06,1,0,0,4.09,51.22,0,5.54,3.61,430.21,3.77,0.93,0,0,0.56,0,0,0,0,0,102.27,0,0.64,4.71,0,2.63
 60-70,0,0,0.86,0,2.48,0,0,191.88,6.45,1.37,31.36,0,0,2.9,1.03,0.82,0,0,6.07,80.51,0,4.2,9.12,547.98,0,0,0,0,2.07,0,0,0,0,0,87.34,2.51,1.36,3.76,0,1.56
 72-82,0,0,1.26,0,0.77,2.3,0,176.35,0,8.96,28,0.86,0,0.51,5.56,3.59,0,0,0,109.89,0.73,1.23,4.97,375.22,0,1.24,1.83,0,0.71,0,0,0,0,0,49.08,0,4.48,11.83,2.2,3.07
 84-94,0,0,0,0,8.48,0,0,137.9,12.39,0,40.08,0.57,0,3.82,6.45,3.2,0,0,0,77.92,0,6.08,7.11,306,0,0.93,2.93,0,0,0,0,0,0,0,24.47,0.55,2.41,12.86,2.45,0.77
 96-106,0,0,1.87,0,3.91,0,0,113.63,2.11,1.45,28.59,0.6,0,0,3.37,3.77,2.65,0,0,60.18,0,2.9,2.69,175.99,0.79,0,0.87,0,10.12,2.94,0,0,0,0,9.99,0,2.13,20.64,2.39,0
108-118,0,0,0.93,0,7.99,0,0,136.32,0.42,0,31.98,5.94,0,0,3.64,2.91,2.36,0,0.9,99.12,0,1.7,5.8,183.81,1.24,0,0.57,0,6.71,0,0,0,0.51,0,9.38,2.24,2.2,5.17,3.85,0.5
120,0,0,2.94,0,7.18,0,3.69,131.93,6.47,0,49.66,0,0,7.76,8.46,2.6,1.77,1.5,1.33,51.96,0,4.51,10.38,317.01,1.37,0,0,0,6.29,0,0,0,0,0,0,0,8.45,21.34,3.21,0
