stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,14.55,1.52,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,3.21,59.31,2.75,0,0,0.9,0,4.1,6.53,0.85,0.84,9.29,21.58,0,0,2.05,0,0
 24-34,0,0,6.89,0.87,0,6.95,0,0,0.63,1.88,0,0,1.24,0,0.99,0,0,0.61,0,7.91,0,0,9.8,126.28,0,0.74,0,0,0,8.71,0,2.42,0.66,0,32.67,0,0,1.57,0,0
 36-46,0,0,0,0,0,13.68,0,0,0,6.8,0,0,1.05,0,0,1.36,0,0,0.58,9.1,0,0,0.59,141.33,9.19,1.79,0,0,0,26.52,0,0,0,0,28.42,0,0,3.47,0,0
 48-58,0,0,8.12,0,0,35.7,0,0,0,8.85,0,0.48,0,0.85,0,0,0,0,0,21.26,0.65,0,3.08,156.46,0.55,0.77,0,0,0,6.34,0,0,0,0,15.73,0,0,1.86,0,0
 60-70,0,0,3.32,0.76,0,98.97,3.06,0,0,27.51,0,0,0,1.42,0.67,0,0,0,0,33.07,0,0.63,1.62,260.98,2.15,1.95,0,0,0,22.02,0,0,0,0,43.9,0,0.63,0.58,0,0
 72-82,0,0,2.93,1.16,0,75.73,0,1.34,3.06,12.21,0.85,0,0,0.65,0.56,0,0.65,0,0,14.1,0,0,6.36,141.39,0,2.19,4.73,0,0,0.7,0,0.73,0,0,22.81,0,0,4.49,0,0
 84-94,0,1,2.75,4.57,0,54,0,0,1.27,14.68,1.05,0,0,4.63,1.35,0,0.69,0,0,18.78,0,0,0.87,100.56,1.13,0,0,0,0,7.69,0,0,0,0,7.85,0.9,0,0,0,0
 96-106,0,0,0.81,0,0,31.41,0,0,0,8.34,0,0,0,1.59,0,0,0,0,0,24.19,0,0,0,48.15,0,3.58,1.03,0,0,9.8,0,0,0,0,3.98,2.05,0,0,0,0
108-118,0,0,4.75,0,0.61,61.25,0,0.96,0,11.09,0,0,0,4.42,1.24,0,2.07,0,0,24.26,0.98,0.72,0.42,107.03,0,0.77,0,0,0,7.26,0,0,0,0,2.69,0,0,2.06,0.62,6.06
120,0,0,7.58,0,0,18.65,0,0,0,4.8,5.31,0,0,10.33,0,0,1.11,0,0,20.87,0,0,0,72.69,0,1.48,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0
