stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,37.33,142.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0
  5-6,0,49.75,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88,3.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.45,0,0,0,0,0,0,0,0,0,25.61,0,0,0,12.35,0,0,0,0,0,0,0
 14-21,0,0,0.9,0.86,0,0,1.31,0,0,0,1.82,0,2.47,9.39,0,0,0,0,0,1.74,3.33,4.62,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.75,3.81,0,2.93,36.2,0.83,3.48,0,0,0,0,0.67,4.12,0,0,0
 36-46,0,0,0,9.89,0,0,1.19,0,0,0,2.68,0.95,0.73,25.63,0,0,0,0,1.02,0,0,6.81,0,0,0
 48-58,0,0,0,8.52,0,0.89,0,1.79,0,0,5.9,0,0.49,7.48,0,0,0,0,0,0,0,8.73,0,0,0
 60-70,0,0,0,12.64,0,0,5.43,0.57,0,0,4.91,0,2.02,10.11,0,0,0,0,0,0,0,2.68,0,0,0
 72-82,0,0,0,4.59,0.56,0,5.93,0,0,0,8.65,0,0,17.32,0,0,0,0,0,0,0,0,0,0,1.16
 84-94,0,0,0,1.17,0,0,9.05,0,0,0,3.36,0,1.77,17.59,2.32,0,2.75,0,0.92,0,0,0,0.83,0.69,0
 96-106,0,0,0,1.4,0,0,3.38,0,0,0.57,4.59,0,0,11.24,0,0,0,0,0,0,0,5.07,0,0,0
108-118,0,0,0.79,2.53,0,0.72,11.24,0,1.52,0,13.56,0,0.91,12.68,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.23,0,0,0,4.2,0,0,0,7.98,0,0,42.28,0,0,0,0,0,0,0,0,0,0,0
