stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.91,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.84,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.94,43.46,1.98,1.58,0,0,0,1.02,3.18,1.69,0,0,0,0,0,0,5.71,0,0,3.07,15.21,2.91,0,1.93,0,0,0,4.25,0.98,12.45,0,0,1.14,0,0
 24-34,0,0,25,0,1.43,0,0,0,2.66,0,0.62,1.53,0,0,0,0,0,27.85,0,1.63,14.19,99.28,4.64,1.32,3.39,0,0.99,0.64,0,0,20.39,0,0,22.54,0,0
 36-46,0,0,18.8,0,1.79,0,1.05,0.81,0.96,0,0.75,0.67,0,0,1.46,0,0,54.94,0,2.2,6.72,77.41,1.12,0,0.72,0,0,0,0,0,31.2,0,0,6.86,0,0
 48-58,0,0,20.76,0,3.15,0,13.84,2.12,7.53,0,1.95,7.43,0,0,0.39,15.06,0.53,49.69,0,1.55,2.42,41.7,0,0,1.08,0,0.46,0,1.22,0,8.01,0,1.08,2.79,0,0.42
 60-70,0,0,26.64,0,10.41,3.7,17.87,3.13,2.08,0.77,4.74,0.64,0,2.13,0,1.06,9.71,104.66,0.58,10.65,2.45,19.38,2.95,0,1.81,0,0,0,0,0,2.48,0,0.73,0,0.87,0
 72-82,0,0,10.28,0,1.79,0,0.65,2.45,5.52,0.58,1.42,2.06,0,4.27,3.45,0,0,78.93,3.29,3.09,3.15,17.91,0,0.79,1.26,0,0.84,0,0,0,0.53,0,2.12,11.76,6.47,0
 84-94,0,0,20.33,0,5.51,0,3.18,2.77,0.56,0.83,3.68,5.98,0.69,9.95,0,0.57,0,60.12,0,6.22,3.6,5.83,0.62,0.61,8,0,0.6,0,0.62,0,0,0,5.98,19.91,11.65,0
 96-106,0,0,12.24,0,1.08,0,5.12,6.75,1.22,0,3.03,4.78,0.99,1.93,3.4,0,0,73.29,0,10.89,0,3.83,0,0,5.61,0,2.18,0,0,0,0,0,3.11,21.83,12.87,4.2
108-118,0,0,7.97,0,0.81,0,3.47,2.79,1.15,2.3,0,8.2,0,6,4.38,0,0.89,93.3,0,7.45,3.62,5.97,0,0,10.68,0,0.92,0,0,0,1.32,0.42,2.94,15.2,9.57,0
120,0,4.41,31.94,0,6.06,0,3.46,0,27.84,0,0,18.55,0,7.74,0,0,0,46.17,0,0,6.9,10.57,0,0,19.76,0,7.72,0,0,0,0,0,7.86,19.27,9.27,0
