stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,vasculature
  3-4,57.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.04,10.11,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.86,0,0,8.19,0
 14-21,0,20.52,0,0,1.06,0.96,0,0,0,0,0.81,1.08,0,0,0.98
 24-34,0,1.29,0,0,0,0,1.46,2.56,0,0,5.19,0,0,0,33.09
 36-46,0,0,0.57,0,0,0,0.81,1.6,0,2.49,17.63,0,0,0,8.22
 48-58,0,0,0.57,0,0.74,0,0.45,0,0,0,6.96,0,0,0,5.02
 60-70,0,0.67,9.12,1.37,0.6,0,1.45,1.47,0,0,8.07,0,0,0,5.42
 72-82,0,0,2.61,1.36,0.79,0,5.29,5.27,0,0,5.09,0,0,0,8.61
 84-94,0,0,4.17,2.2,0,0,4.17,1.46,0,0,2.19,0,1.39,0,17.77
 96-106,0,2.58,2.56,0,0,3.03,10.31,4.45,4.02,0,0,0,0,0,8.35
108-118,0,0,0,1.27,0,0,10.63,1.47,0,0,3.74,0,0,0,16.4
120,0,0,3.01,0,0,0,4.11,5.78,0,0,12.45,0,0,0,4.56
