stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0
 14-21,0,0,3.51,0,0,0,0,0,0,43.51,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.61,0,0,0,0,126.84,0,0,0,0,0,0.75,4.97,0,1.79,0,0.85,1.11,0,1.51,0
 36-46,0,0,0,0,0,0,0,0,0,164.05,0,0,0,0.66,0,0,6.94,0,0,0,0,5.34,0,4.04,0
 48-58,0,0,5.75,0,1.53,0,0,0,0,227.86,0,0,0,0.53,0,0,8.3,0,0,0,0,2.45,0,3.35,0
 60-70,0,0,0,0,5.3,0,1.51,0,0.9,275.82,0,0,0,0,0,0,4.15,0,0,0,0,0,0,6.38,0
 72-82,0,2.55,0,0,5.7,0,1.82,0,0,219.72,0,0,0,2.3,1.45,0,7.2,0,0,0,0,0,0.91,7.54,0
 84-94,0,0,0,0,0.62,0,0.62,0,0,279.65,0.75,0,0,5.78,0,0,1.09,0,0,0,0,0,0,4.96,0
 96-106,0,1,0,1.05,2.37,0,3.98,0.81,0,285.05,0,0,0.95,1.75,7.81,0,18.31,0,0,0.83,2.62,0,0,20.48,0.61
108-118,0,2.97,4.08,1.17,6.26,2.47,2.55,0,0,209.58,0,0,0,4.93,0,0,1.97,0,0,0,0,0,0,10.47,0
120,0,0,2.45,0,0,0,7.94,0,0,334,0,4.59,0,0,0,0,10.3,2.47,0,0,0,0,0,7.24,0
