stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2.79,19.84,8.73,4.39,0,0,1.07,2.06,2.17,0,2.31,0,0,0,0,9.81,0,13.34,129.39,15.46,1,0,0.91,7.75,10.5,0.84,7.41,36.84,0,0,0,0
 24-34,0,12.68,0.81,102.48,0,0,4.04,0,0,0,0,0.63,0,0.61,0.62,41.9,0,12.22,654.37,1.32,1.85,4.98,0,28.07,0,4.44,2.9,121.11,0,0,11.67,0.89
 36-46,0,17.01,6.01,229.39,0,0,9.36,2.36,0.87,2.69,0,0,0,0,0,53.54,11.59,8.01,612.78,1.12,2.61,1.21,0,23.42,0,0,0,65.42,0,0,9.13,1.07
 48-58,0,20.15,15.37,411.01,5.52,0.42,53.55,1.56,0,0,0,3.3,4.54,0,0,52.93,0.5,5.45,437.82,2.89,3.06,0,0,4.42,0,0,0,28.52,0,0,2.03,0
 60-70,0,13.98,0,336.23,2.09,0,38.53,0,0,0,0,2.5,0.61,0,0,62,6.79,1.74,358.69,4.03,1.22,0.76,0,0,0,0,0,12.25,0,4.5,10.04,8.04
 72-82,0,6.29,0,71.37,0,1.73,7.73,0,0.5,0,0,0,0.92,0,0,12.04,1.08,1.27,78.62,0,0,0,0,2.1,0,0,0,0.54,0,0,0,0
 84-94,0,3.95,0,33.42,0,0,7.21,2.44,0,2.84,3.17,1.98,0.78,0,0,32.04,2.36,1.08,46.98,0,1.6,0,0,0.66,0,0,0,1.08,0,0,6.45,0
 96-106,0,0,0,18.55,0,0,5.08,0,0,0.63,0,0,0,0,0,8,0,1.55,20.04,0,0,0,0,4.46,0,0,0,0,0,0,10.06,0
108-118,0,1.26,3.25,42.42,0,0,6.76,0,0,0.41,0,0,1.75,0,0,9.18,3.44,0.72,35.51,0,0,0.51,0,2.56,0,0.55,0,0,0.55,0.53,1.98,0
120,0,1.44,6.7,125.99,0,0,15.59,0,1.61,2.27,0,0,2.13,0,0,31.87,3.46,13.08,119.96,0,0,0,0,1.68,0,0,0,0,0,0,11.56,0
