stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.69,208.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61,0,0,0,30.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,58.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,57.15,9.29,0,0,34.62,0,0,0,17.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,44.79,36.62,343.5,0,9.36,0,0,0,2.11,9.34,4.28,8.88,2.64,5.29,0,0,27.42,18.88,0,0,10.09,21.07,4.54,0,0,0,0,0,1.93,148.28,0,7.24,5.8,0,0,124.81,0,0
 24-34,0,0,0,16.07,6.75,24.06,0,33.86,0,0,0,0,4.4,1.43,25.35,17.28,0.95,0,0,37.68,19.36,0,0,14.47,51.64,1.38,0.67,0,0,0,0,0,199.91,0,0.84,7.35,0,0,455.61,0,0
 36-46,0,0,0,2.06,4.09,1.79,0,19.41,0,1.03,0,7.16,5.95,0,18.72,3.76,0,0,0,7.55,51.91,0,0,7.7,48.29,0,7.75,9.6,0,0,1.95,0,65.94,0,0,3.4,0,0,199.37,0,0
 48-58,0,0,0.4,0,20.45,0.45,0,36.06,3.88,0,2.61,23.46,9.45,0.93,28.68,2.74,0,0,0,12.69,40.02,0,0.94,3.76,44.62,0,3.24,1.44,0,0,0,0,34.95,0,0,4.45,0,0,128.26,0,0
 60-70,0,0,0,0,3.69,0.67,0,106.57,0,4.44,2.85,34.66,12.56,5.24,34.64,10.48,1.52,1.16,0,17.21,62.92,0,0.89,1.33,46.12,0,0,0,0,0,4.08,0,34.79,0,0,4.14,0,1,151.46,0,0
 72-82,0,0,0.95,5.41,5.35,2.81,0,90.31,0,0,3.52,27.29,42.54,0,33.03,22.38,6.54,0,0.51,25.04,83.2,0,0.51,2.48,46.42,0,2.65,2,0,0,1.48,0,60.07,3.03,0,7.87,0,0.84,225.95,0,1.89
 84-94,0,0,0,2.35,6.95,0.68,10.13,115,0,0,5.28,17.35,85.02,4.82,29.84,24.97,1.42,0,0,111.86,36.68,3.53,4.57,2.9,65.65,0,0,1.73,0,0,2.75,0,132.45,0,0,8.96,0,0.71,241.04,0,0
 96-106,0,0,0.99,2.34,7.09,21.16,2.51,68.55,0,0,1.67,23.44,42.46,0,54.62,25.19,7.37,0,0.79,57.43,60.74,1.9,1.05,0,68.2,2.23,3.48,7,0,2.17,2.31,0,72.86,0,0,7.45,0,0.96,218.53,3.21,0
108-118,0,0,3.1,3.24,11.23,2.96,13.87,41.03,0,0.53,1.32,14.07,71.5,0,30.69,19.84,14.23,0,0.97,107.64,63.25,3.08,4.74,2.17,74.36,0.45,0.43,4.2,0,0,5.51,0,68.47,0,0,0,2.74,0,217.05,3.23,0
120,0,0,0,3.25,4.94,12.96,8.28,58.31,0,2.06,1.44,46.41,86.49,5.2,31.81,46.55,4.31,0,0,64.11,51.46,1.56,2.61,1.9,62.4,3.25,2.17,0,0,0,0,0,37.59,0,0,0,0,0,209.56,2.01,0
