stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.13,9.17,110.38,36.93,0,45.12,0,0,0,22.36,7.97,0,0,0,2.19,0,0,0,0,81.08,0,0,49,780.02,4.68,2.38,12.69,21.79,0,8.9,0.86,125.74,10.65,2.2,88.25,236.67,0,0,2.61,0,1.35
 24-34,0,4.11,35.13,12.14,0,148.12,0,5.74,10.04,29.28,2,0,1.65,7.77,6.37,0.92,4.09,3.16,1.49,151.79,1.03,0,57.19,1702.38,6.93,12.38,17.43,0,0,18.87,0,3.17,4.54,0.65,18.4,348.83,0,0,55.47,0,2.97
 36-46,0,1.24,11.76,2.54,0,280.79,0.85,5.37,5.13,82.26,1.45,0,0,9.62,0.56,0.56,4.55,0.57,2.28,122.12,2.2,1.74,32.46,1198.4,15.14,7.79,5.02,0,7.92,18.79,1.61,0,0.75,0,0,278.14,0,2.08,22.5,0,0.65
 48-58,0,0,18.64,0,0,383.1,3.76,4.14,4.91,130.86,2.11,0,3.1,5.55,1.84,5.44,2.22,1.22,5.26,173.78,0.94,5.44,30.36,914.59,2.39,5.15,3.14,0,0,16.92,0,0.92,0.4,0,0,184.4,0,1.65,4.27,0,5.9
 60-70,0,0,39.23,4.2,0,374.73,1.41,0,10.62,63.89,4.92,0,1.83,6.65,0,4.41,4.04,0,0,209.15,0,18.55,32.04,675.36,6.12,0.6,6.12,0,0,13.78,0,0,6.69,2.57,0,94.33,0,7.3,12.04,0.59,0
 72-82,1.61,0,16.04,3.78,0,372.35,6.88,2.22,8.98,80.84,6.49,0,4.05,7.94,1.31,0,6.77,1.98,0.87,230.92,2.37,11.3,16.25,499.43,2.5,5.06,9.87,0,8.76,8.46,0,0,0.5,0,0,89.12,1.87,8.07,13,2.19,12.02
 84-94,1.99,1.78,41.62,9.6,1.33,266.25,0,6.81,6.68,60.16,4.42,2.37,1.01,16.98,5.27,4.21,3.79,10.21,9.65,163.64,2.63,10.42,25.08,408.72,3.21,4.25,10.09,0,0,36.8,0,0,0,0,0,57.01,2.18,5.34,28.86,8.16,3.79
 96-106,0,0,18.45,22.59,0.92,205.41,0,3.07,8.85,64.92,5.75,0,4.34,9.54,2.64,13.31,5.88,3.91,2.25,196.5,2.02,6.66,15.44,286.9,0.91,12.83,9.34,0,7.1,31.48,0,0,0.62,0.64,0,33.3,2.45,7.3,29.23,1.15,2.2
108-118,0.95,0,37.59,22.12,1.07,214.6,0,7.07,4.53,98.12,9.18,0,5.01,14.66,4.28,4.53,1.51,14.72,0,212.87,8.29,9.03,30.35,569.44,3.85,10.69,8.74,0,3.76,28.61,0,0,0.72,0,0,10.25,2.2,19,9.33,11,6.45
120,0,0,43.03,17.13,2.35,244.87,8.76,19.16,3.46,159.03,5.81,0,0,39.36,4.7,5.39,0,6.98,0,177.35,0,37.17,29.28,505.92,3.33,6.1,1.66,0,2.67,12.08,0,0,0,0,0,48.03,0,1.56,33.97,8.42,0
