stage,endoderm,epidermis,erythrocytes,gut,heart,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,0,0,15.41,11.21,0,0,0
 10-12,0,0,8.88,0,0,0,0,0,0,0,3.07,5.44,0
 14-21,0,0,0,0.85,8.39,0,8.51,2.43,4.69,15.94,0,0,1.97
 24-34,0.6,0.64,0,0,10.16,3.36,7.52,2.71,3.49,0,0,0,0
 36-46,0,0,0,0,4.7,0,2.39,0,0,0,0,0,0
 48-58,0,0,0.97,0,0,0,2.23,0,0.86,0,0,0,0
 60-70,0,0,0,0,1.95,0,0,0,0.81,0,0,0,0
 72-82,0,0,0.86,0,0.81,0,0,0,13.56,0,0,0,0
 84-94,0,0,0,0,4.15,0,0,0,0,0,0,0,0
 96-106,0,0,1.98,0,2.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.38,0,0,0,5.03,0,0,0,0
