stage,epidermis,eye,fin.epithelia,gut,ionocyte,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,57.1,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.22,0,0,47.42,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.44,48.47,0,0,0
 14-21,0,0,0,0,0,0,0,2.03,0,0,0,55.21,0.98,0,0
 24-34,0,0,0,0.63,0,0,0.67,9.87,0,0,0,89.86,0,0,1.49
 36-46,0,0,0,0,0,0,1.37,4.26,0,0,0,231.99,0,0,0
 48-58,3.53,0.49,0,0,0,0,0,2.27,0,0,0,84.18,0,0,0
 60-70,3.25,2.85,0,0,0,0,2.49,2.69,0,0,0,78.98,0,0,0
 72-82,1.51,0,1.5,0,0,0,0,3.38,0,0.56,0,36.65,0,0,0
 84-94,2.13,0,1.76,0.76,0,0,0.92,0.86,0,0,0,112.75,0,0,0
 96-106,8.15,0.57,1.91,0,0,3.32,0,7.8,0,0,0,138.86,0,0,0
108-118,9.28,0,4.44,0,0.48,0,0,5.38,0,0,0,140.59,0,0.91,0
120,21.88,0,4.64,0,6.78,0,0,5.57,0,0,0,60.26,0,0,0
