stage,blastomeres,exocrine.pancreas,eye,neural,paraxial.mesoderm
  5-6,33.06,0,0,0,0
  7-9,0,0,0,7.87,12.03
 96-106,0,3.52,0,0,0
108-118,0,0,3.78,0,0
