stage,epidermis,eye,fin_epithelia,glial,mesenchyme,muscle,neural,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,20.87,0,0,0
 10-12,0,0,0,0,0,0,23.51,29.64,0,0,0
 14-21,1.16,0,0,0,0,0.87,6.33,0,1.8,3.23,0
 24-34,0,0,0,0,1.92,0,24.48,0,0,0.88,0
 36-46,0,0,0,0.92,0,0,34.62,0,0,2.86,0
 48-58,0,0,0,0.91,0,0,19.08,0,0,2.47,0
 60-70,0,0,0,0.83,0,0,13.06,0,0,1.1,0
 72-82,0,0,0,0,2.36,0,15.55,0,0,0,0
 84-94,0,0,0,0,0,0,12.3,0,0,0,1.64
 96-106,0,0,0,0,0,0,2.28,0,0,0,0
108-118,0,5.4,0,0,7.12,0.94,5.58,0,0,2.04,0
120,0,0,3.14,0,9.12,0,38.77,0,0,0,5.4
