stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,16.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.41,8.87,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.44,0,0,1.01,0,0.82,0,0.86,0.82,1.62,17.07,0,0,0,0,0.92,0,2.89,0,0,71.24,23.73,0,0,0,6.7,0,0,5.72,0,3395.65,1788.75,13.23,0,0,0,0,0
 24-34,0,0,18.28,0.94,0,41.63,1645.06,0,0.67,5.92,0.59,0,34.67,0.98,1.41,0,2.21,12.6,0,50.25,0,0,440.99,692.09,9.68,10.38,9.97,0,0,43.18,3.11,0,2680.12,1578.67,108.06,0,0,28.62,0,8.01
 36-46,0,0,11.04,0.61,0,67.63,3249.66,2.87,1.59,14.81,0,0,21.97,2.72,0.79,0,0.8,10.73,8.54,30.44,0,0,239.06,504.82,11.29,2.88,1.38,0,0,39.62,0,0,2623.32,109.2,103.87,0,0,14.02,0,5.25
 48-58,0,0,28.45,0,0,244.08,2756.67,5.17,0.91,53.61,0,4.4,30.92,3.19,2.75,0,0.5,5.26,4.37,79.7,1.45,1.55,192.84,843.06,5.56,4.04,2.6,0,0,35.1,0,1.33,2121.43,0,145.62,0,0.37,3.94,0.9,31.19
 60-70,0,0,7.65,10.12,0,243.46,1376.85,13.9,0,25.53,1.11,0,12.47,10.11,0,4.2,0,0.68,0,78.3,1.83,3.91,166.62,338.45,7.16,0,0,4.86,1.08,13.52,0,0,1022.64,0,54.71,0,0.6,7.87,0,6.71
 72-82,0,0,9.51,5.34,0,193.96,849.11,4.61,1.79,41.56,0,0,7.67,2.03,4.64,0.79,1.33,5.82,8.68,69.09,0,0.87,98.82,485.79,0,1.15,1.58,2.25,0,7.92,0,0.53,524.17,0,22.72,2.31,0.9,1.57,8.44,7.66
 84-94,0,1.14,6.54,10.93,0,131.64,1243.94,5.32,6.71,25.61,2.77,0,11.09,1.21,2.85,2.09,0,9.23,10.16,59.49,2.49,2.63,91.85,424.42,5.17,3.36,6.56,0,0,29.09,0,0,1014.26,0,18.01,0.72,3.31,10.44,14.86,0
 96-106,0,0,31.12,65.59,0,252.79,1699.79,3.8,0.81,44.7,2.69,0,28.14,6.17,1.8,5.87,3.56,9.82,2.33,117.86,8.64,2.67,190.03,665.62,0.81,0,12.34,11.87,8.53,30.94,0,0,1061.5,0,42.73,1.69,6.88,23.19,73.67,31.91
108-118,0,1.86,8.23,13.13,0,90.28,1259.22,0,0,19.87,0,0,27.63,2.34,0,1.65,0.94,5.3,1.29,81.87,1.47,2.51,159.82,420.72,1.11,5.01,0.91,0,1.83,20.77,0,0,907.62,0,1.6,0.44,7.86,14.89,42.6,7.8
120,0,0,1.36,0,25.17,92.04,818.66,3.8,0,46.02,1.38,0,4.85,0,0,4.95,0,14.88,0,51.46,0,0,156.48,740.71,0,0,0,0,0,5.97,5.59,0,247.1,0,23.9,0,0,0,67,12.89
