stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,29.06,0,0,6.61,0,0,0,0,0,0,0,0,0
 14-21,0,7.35,6.7,1.43,0,0,0,0,0,0,0,13.99,0,0,1.69,0,0,0,0,1.89,0,0,0.93,18.25,0,0,0,0,171.63,0,0,9.15,3.95,0,0,0
 24-34,0,5.48,2.95,0,0,0,0,0,0.74,1.42,0,13.27,0,0,3.15,0,0,6.75,0,4.77,1.6,0,0,60.84,0.69,2.37,0,0,357.79,0,0.76,0,27.3,0,0,0
 36-46,0,4.93,2.3,0.68,0,10.94,0,11.38,7.96,0,0,6.77,0,1.03,0,0,0,0,3.64,10.75,2.86,0,0.84,159.05,0.6,4.36,0,0,503.8,0,0,0,24.83,0,0,0
 48-58,0,2.12,2.36,0,0,26.74,0,0.52,13.58,10.64,1.54,8.41,0,0.8,0,0,0,0,0,8.55,0.63,0,2.5,226.55,0,1.23,0,0,306.67,0.53,0,0,27.89,0,0,0
 60-70,0,0,0,0,0,150.18,3.41,1.81,10.32,4.11,0,0,0.9,0,1.48,6.5,0,0,0,5.08,2.78,0,1.08,391.57,0,0,0,0,299.5,0,0,0,35.26,0,0,0.59
 72-82,0,0.95,1.02,4.53,0,196.6,0,0,6.89,8.64,0,2.2,0,0,0,0.62,0,0,1.79,10.14,0.52,0,0,345.18,0,1.11,0,0,174.41,0,0,0,35.46,0,0,3.41
 84-94,0,0,7.89,0,1.52,91.74,0,3.68,17.9,6.02,0.73,10.05,0,0,3.92,0,1.03,0,4.96,3.84,4.89,0.74,0,219.04,0,7.02,0,0,852.07,0.59,0,0,0.67,0,5.33,0.78
 96-106,0,1.68,13.84,3.15,0,63.57,0,1.32,3.08,8.56,0,3.44,0,0,6.19,0,0,0,0,2.48,4.43,0,0,156.55,0.57,2.47,0,0.87,451.75,0,0,0,5.99,1.89,0.74,1.67
108-118,0,0.54,4.97,0,0,91.35,0.65,3.99,2.86,6.87,0,0,0,0,4.48,0,0.63,0,0.47,10.14,7.84,2.45,6.59,246.18,2.05,3.81,0,0,385.09,0,0,0,6.11,2.21,0,0
120,0,0,5.32,1.14,0,78,0,4.42,0,7.36,0,0,0,0,4.41,0,0,0,0,18.64,0,0,0,315.74,5.75,0,0,0,195.95,0,0,0,14.12,0,0,0
