stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord
  5-6,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,8.87,7.27,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0.94,1.63
 24-34,0,0,0,0.95,0,0.85,0.61,13.41,0.61,0,0,0,0.74,0,0,0.74
 36-46,0,0,0,1.03,0,0,0.55,18.46,0,0,0,0,0,1.34,0,4.54
 48-58,0,0,0,0,1.54,0.73,0.49,6.12,0.51,0,0,0,1.46,0,0,1.58
 60-70,0,0,0,12.24,1.1,0.98,0.73,7.94,0,0,0,0,0,0,0,2.01
 72-82,1.66,0,0,2.14,2.74,3.14,0,16.56,0,0,0,0,7.09,0,0,1.29
 84-94,0,5.82,0,4.55,0,0.9,0,10.76,0,0,0,0,9.35,0,0,0
 96-106,0,4.03,0,0,1.65,3.29,0,0,0,0,0,0,3.57,0,0,0
108-118,0,0,0.6,0,0,0,0,1.11,0,0.87,0,2.91,4.94,0,0,0
120,2.08,0,0,0,0,5.53,0,8.73,0,0,1.86,11.71,10.22,0,0,10.12
