stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,neural,olfactory,spinal.cord,vasculature
  3-4,90.74,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.29,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.78,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.36,0
 24-34,0,3.65,0,0,0,0,0,0,0,0,0.68,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.96,0,0,0
 48-58,0,6.49,0,3.94,0.87,0,0,0,1.54,5.5,0,0,0
 60-70,0,0,2.24,0,0,0,0.82,0,0,5.85,0,0,0
 72-82,0,0,0,0,0,0.71,0,0,0,10.78,0,0.64,0
 84-94,0,2.58,1.41,1.97,0,0,0,0,0,3.19,0,0,2.47
 96-106,0,3.6,0,2.52,0,0,0.83,0,0,15.02,0,0,0
108-118,0,3.46,1.18,0.99,0,0,0,0.76,0,11.47,0,0,2.54
120,0,3.7,0,0,0,0,1.18,1.84,0,3.15,0,0,1.23
