stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.75,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.71,0,0,0,21.31,0,16.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,166.48,0,0,0,81.09,0,0,0,0,20.06,0,14.76,5.09,0,0,0,0,0
 14-21,0,0,10.89,16.07,39.67,0,18.55,0,0,0,0.84,1.09,0.87,51.17,0,0,0,0.93,0,0,238.37,0,436.07,313.25,2.26,3.64,6.69,3.76,0,4.34,0.9,50.96,8.66,698.1,1290.78,112.94,0,0,12.29,0,0
 24-34,0,0.84,3.06,19.99,11.67,0,88.7,5.07,0,3.77,18.37,0,6.5,33.7,0,0,0.85,0,2.04,7.46,430.62,4.04,512.83,1105.91,6.45,7.6,18.57,0,1.61,1.47,0,2.9,14.66,185.53,227.49,196.49,0,0,104.7,0,0.63
 36-46,0,0,1.88,1.66,0.76,0,365.38,36.41,0,4.87,124.11,0.56,0,27.09,4.71,0,0.56,0,0,3.78,496.44,11.26,223.91,2170.06,25.71,15.04,8.83,0,0,1.98,0,0,8.35,102.26,4.77,558.32,0,1.23,53.22,0,17.07
 48-58,0,0,0,7.49,0,0,508.36,16.42,8.06,11.26,229.78,2.57,0,24.41,0,0,0.38,0,0.84,4.39,417.42,12.71,143.14,1845.35,41.16,9.64,22.18,0,5.77,13.44,0,0,9.48,55.23,0,486.77,0,1.01,49.34,0,78.78
 60-70,0,0,0,12.25,3.8,0,617.64,33.42,0,34.76,425.56,0,0,47.91,1.52,0,4.68,1.83,0,17.64,667.06,22.14,93.73,1572.69,24.77,1.5,23.21,0,4.37,2.56,0,0,6.29,76.57,0,362.55,0,3.55,40,13.2,120.09
 72-82,0,0.68,0.75,19.48,21.16,0,383.39,45.14,0,22.31,678.96,2.32,0,18.09,1.54,0,2.78,10.92,15.49,0,685.92,30.91,74.48,1395.09,15.55,9.3,19.15,1.13,12.14,6.51,0,0,4.12,42.29,0,207.95,2.48,9.26,102.6,56.82,103.66
 84-94,0,0,0,20.34,13.22,1.17,343.69,110.89,0.62,12.34,628.54,6.09,0,32.52,17.59,0,3.01,3.07,3.91,8.2,594.64,35.28,78.11,1081.32,19.61,0.6,39.35,0,3.67,5.6,0,0,2.75,77.03,0,196.95,3.74,17.96,112.47,89.1,143.54
 96-106,0,0.99,0,31.71,45.54,7.27,312.26,206.13,0.61,29.75,828.7,0,0,52.2,18.43,2.01,16.42,10.16,11.87,4.68,640.9,34.35,84.4,1214.5,19.64,7.73,57.55,21.32,18.07,10.98,0,0,5.82,78.25,0,101.52,2.03,23.52,142.04,118.27,98.17
108-118,0,0.57,0.63,15.78,11.79,14.11,284.74,203.89,2.3,15.14,830.85,0,0,80.78,8,0,33.17,8.22,19.16,4.57,603.01,44.98,83.08,1145.79,42.09,7.99,74.05,8.11,41.9,11.19,0,0,3.62,85.6,0,63.93,0.68,34.07,93.68,87.09,79.53
120,0,7.47,0,43.53,55.46,3.41,332.01,191.7,0,7.49,985.87,7.54,0,38.26,11.83,3.52,23.93,4.86,19.68,1.6,689.77,49.64,152.72,1396.25,18.46,21.57,78.06,0,30.74,26.96,0,0,3.07,30.38,0,56.04,0,22.03,82.78,137.28,44.19
