stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,365.53,6490.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.24,0,0,0,0,0,0,0,0,0,0
  5-6,379.11,6731.77,0,0,0,0,0,0,0,0,0,0,26.11,0,0,0,0,0,0,0,0,0,0,0,96.36,0,0,0,39.59,139.48,0,0,0,0,0,0,0,0,0,0
  7-9,39.29,36.01,0,36.49,0,0,27.38,0,0,0,0,0,36.54,0,0,0,0,0,0,0,0,0,0,0,920.25,16.55,0,0,269.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.41,0,53.57,0,0,50.18,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0,0,0,429.08,0,0,0,122.87,0,0,39.82,0,0,0,0,0,0,0,0
 14-21,0,1.36,1.09,0,12.81,1.77,7.6,0,0.88,0,5.35,1.08,0,0,0,2,0,0,0.86,0,1.71,0,0,2.68,85.3,0,1.09,0,1.83,2.88,17.35,0,1.23,13.53,25.32,0,0,4.71,0,0
 24-34,0,0,0.6,0,6.69,0,11.17,0,0,0.67,3.92,0,0,0,0.71,2.09,0,0.7,0,0,9.55,0.69,0,2.05,232.38,1.05,8.11,0.69,0,5.54,0,0,0.61,3.22,42.43,0,0,4.29,0,1.52
 36-46,0,0,0,0,4.56,0,26.72,0,0,0.57,11.37,0,0,0,0,0.62,0,0.61,0,0.71,5.2,0,0.67,2.18,323.23,0,9.15,0,0,23.54,0,0,0,0,51.15,0,0,0.87,0,7.86
 48-58,0,0,0,0,0.88,0.85,66.33,0.39,0.49,0.85,9.51,0,0,2.58,0.4,0.83,0.79,0,0,6.3,18.47,0.59,0,1.16,252.73,0,1.97,0,0,6.68,0,0,0,0,46.46,0,0,2.87,0,1.13
 60-70,0,0,0,0,0,0,140.02,0,1.14,0.83,19.74,3.32,0,0,7.5,0,1.14,1.16,2.6,0,16.2,0,1.19,0.93,278.23,0,1.48,0,0,6.77,0,0.76,0,0,28.25,0.77,0,0.79,0.64,0
 72-82,0,0,0,0,2.73,7.34,106.69,0,0,0,14.77,0,0,1.62,2.88,0,0.72,0,0,0,24.77,0.67,0,2.09,213.56,0,15.61,0,1.13,15.56,0,0,0,0,33.73,1.61,0.61,7.02,0,0
 84-94,0,0,0,0,3.76,10.88,76.73,0,1.69,0,4.22,0,0,0,1.12,2.59,1.31,0,0,0,30.62,0,0.85,2.29,190.26,0.59,5.63,0,0,14.36,0,2.2,0,0,20.51,0,0,0,1.55,9.49
 96-106,0,0,0,0,6.9,1.56,75.44,0,1.03,1.12,4.75,1.43,0,1.58,3.84,0.69,0,0.63,3.07,0,17.48,0.71,0,5.34,103.11,0,5.82,2.16,0,33.96,0,3.93,0,0,11.72,3.23,0,0.79,2.3,13.51
108-118,0,0,0,0,7.25,8.86,71.18,0,2.54,2.59,10.86,2.52,0,0,0,2.81,1.34,0,1.81,1.34,35.8,0.6,0,2.02,220.36,0.56,0.6,4.09,0,20.35,0,0,0,0,6.62,0.6,0.86,5.26,0,3.36
120,0,0,0,0,6.01,2.88,62.69,4.88,2.37,0,35.83,0,0,0,3.51,0,0,2.19,0,0,14.35,0,0,4.6,139.9,0,2.28,2.28,0,15.11,0,0,0,0,7.7,0,0,0,0,0
