stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,0,1.09,3.29,1.07,5.95,1.35,2.24,0,0,0
 24-34,5.24,1.99,0,0,0,0,0,0,0,0,1.5,0,0,5.26,0,0,0,0,2.38,0,0,0,0,0
 36-46,0,30.79,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,1.55,0,1.18,0,1.95,0,0.6,0
 48-58,0,2.09,0,0,0,0.45,0,0,0,0,0.93,0,0,10.51,3.46,0,0,0,0,0,0,0,0,0
 60-70,0,8.65,0,0.79,0,0,0,0,0,0.71,11.87,0.89,0,1.62,0.75,6.85,0,0,1.48,0,1.2,0,0,0
 72-82,2.96,8.43,4.55,0,2.52,0,1.72,0,1.6,7.07,12.12,10.47,2.56,15.64,0,2.47,0,0,0,0,0,0,0,2.27
 84-94,0,11.55,6.1,0,0,0,0,0,0,0,8.36,0.76,1.97,2.57,2.05,0,0,0,0,0,0,1.6,0,3.32
 96-106,0.89,3.44,0,0,0,0,0,0,0.97,6.69,59.05,0,1.96,6.73,2.9,13.5,2.4,0,0,0,1.83,0,0,2.02
108-118,2.06,5.28,0.88,0,0,0,0,0.8,0,1.22,16.07,6.34,1.57,1.52,5.95,5.37,7.96,0,0,0,0,0,0,0
120,0,26.34,0,0,0,0,0,0,0,0,7.18,0,2.96,0,1.91,0,10.43,0,1.42,0,0,0,0,0
