stage,erythrocytes,eye,glial,mesenchyme,muscle,neural,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,6.64,0,0,0
 10-12,0,0,0,0,0,12.61,0,0,0
 14-21,0,0,0,0,0,4.88,0.84,0,0
 24-34,0,2.71,0,0.74,0,2.65,1.15,0,0
 36-46,0,0,0.77,4.42,0,21.03,2.99,0,0
 48-58,0,0.47,0.5,0,0,3.32,5.06,0,0
 60-70,0,2.38,0,0.57,0,6.88,1.34,0,5.63
 72-82,0,0.54,0,0,0,6.09,0,1.13,0
 84-94,3.33,0,1.12,0,0,6.62,1.76,0,0
 96-106,0,1.98,0,0,0,10.93,4.33,0,0
108-118,0,0,1.14,0,0,0,0,0,0
120,0,0,0,0,2.81,0,0,0,0
