stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,3.01,0,0,0,0,0,6.54,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.02,0,0,0,0.9,0,0,5.57,0,0,0,0,0.82,0
 24-34,0,1.34,0,0.81,0,1.7,0,0,0,0,5.34,0,0,26.79,0,0,0.71,0,2.48,0
 36-46,0,0,0,0,0,3.03,0,0,0,0,0.94,0,0.91,34.96,1.09,0,0,0,9.4,0
 48-58,0,0,0,0,0,6.64,0,0,0,0,0.5,0.55,0,8.53,0,0,0,0,0,0
 60-70,0,0,2.05,0,0,3.56,0.7,0,0,0,2.99,0,0,12.11,1.31,6.45,0,0,0,0
 72-82,0,0,2.43,0,0,0,0.56,0,0,0,0.58,0,0,0.49,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.75,0,0,0.58,0.57,0,0,2.87,0,0,0,0,0,0
 96-106,0.81,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,2.04
108-118,0,0,0,0,0.75,4.38,1.09,0,0.42,0,0,0,0,3.1,0,0,0,1.88,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0
