stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0
  5-6,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.5,0,0,0,0,0,0,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.65,0,0,0,26.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.93,12.82,0,0,43.46,0,0,0,0,0,3.87,0,0,0,0,0,0
 14-21,0,0,4.17,0,0.84,0.92,0,0.83,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,166.83,0,1.02,0,0,0,0,0.87,0,0,0,110.67,0,0,0,0,0
 24-34,0,0,0.66,0,2.9,0,0,10.05,0,0,0,0,0,0,0,0,0,0,0.62,1.17,0,0,0.91,1430.27,0,9.83,0,0,0,1.41,0,0,0,0,283.06,0,0,0.98,0,0
 36-46,0,0,0,0,0.94,0,0,90.26,0,0.57,9.73,0,0,0,0,0,0,0,0,3.25,0,0,1.73,3820.15,0,19.68,6.48,0,7.92,1.75,0,0,0,0,613.14,0,0,2.4,0,4.22
 48-58,0,0,0,0,12.16,0.58,0,439.36,0.39,0,28.24,0,0,1.43,0,0,0,1.39,2.01,13.39,1.4,0.56,2.42,5066.77,2.93,16.41,1.22,0,0,1.5,0,0,0.9,0,624.05,0,0,11.43,0,25.99
 60-70,0,0,0.57,0,5,0,0,973.07,0,10.81,43.5,0,0,1.63,0,0,0,0,7.05,29.59,0,0,0,6596.32,0,11.44,0,0,0,6.52,0,1.08,1.63,0,590.2,0,1.03,0,0,2.21
 72-82,0,0,0.64,0,10.58,5.33,0,956.69,0,2.62,64.93,0.71,0,6.25,0,0,0,0,8.68,37.16,0,7.87,4.99,4772.47,0,7.63,1.18,0,0,0,0,0,3.1,0,285.4,1.21,0,2.03,1.44,5.53
 84-94,0,0,2.43,0,12.57,3,0,831.2,14.16,0,35.73,0,1.02,1.2,0,1.29,0,0,5.93,41.24,0,0,1.76,3507.01,0.65,4.02,0,0,0,8.26,0,0,0.69,0,198.98,2.26,0,0,0,0
 96-106,0,0,1.68,0,23.06,19.11,0,515.2,0,0.64,46.7,0,0,3.72,0,0,2.65,11.23,0,17.82,0,2.28,2.18,2842.96,0,6.42,1.42,0,0,16.04,0,0,0,0,70.57,0,5.78,0.88,0,1.22
108-118,0,0,0.88,0,14.49,6.84,0.55,480.89,0.43,7.07,32.48,0,0.43,1.01,0.86,1.37,3.81,0.56,0,30.38,1.82,0,1.46,2692.72,0,2.41,0.58,0,0,0.74,0,1.48,0,0,69.05,0,0.77,3.29,3.09,5.2
120,0,0,0,1.28,18.16,0,0,652.31,0,0,71.86,0,0,3.47,14.99,3.86,0,0,0,30.83,0,0,4.19,5027.57,0,3.54,0,0,3.68,4.5,0,0,0,0,164.5,0,0,0,0,13.4
