stage,epidermis,erythrocytes,eye,fin.mesenchyme,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,8.53,4.98,0,0,0
 14-21,0,1.02,0,0,0,0,0,1.14,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0.82
 48-58,0,0,0,0,0,0,0,0,2.62,0,0,0,1,0
 60-70,0,0,1.02,0,0,2.3,0,0,0,0,0,0,0,0
 72-82,0,0,2.38,2.11,0,1.65,0,0,3.32,0,0,0,0,0
 84-94,0,0,3.48,0,0,3.54,0,0,12.6,0,0,2.48,0,0
 96-106,1.69,0,1.62,0,0,3.45,0,0,16.75,0,0,0.79,0,0
108-118,0,0,3.4,0,1.1,1.98,0.46,0,2.87,0,0,1.28,0,0
120,0,0,4.23,0,0,2.28,0,0,0,0,10.96,0,0,0
