stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.94,4.23,0,0,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.34,0,0,0,13.3,0,0,0,0,0,15.14,0,0,0,0,0,0,0,0,0,0,25.61,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.92,3.06,0,2.14,0,0,0,9.17,0,1.12,0,0,0,0,7.12,0,1.13,0,0,5.46,8.74,2.11,0,1.21,0,0,7.25,0.91,2.47,0,0,0.93,8.22,0,0,0,0,0
 24-34,0,0,0,10.48,0,0,14.23,0,0,0.74,0.88,0.59,0,0,0,0,0.93,0,1.09,21.43,0,0,6.83,73.44,2.5,7.54,1.16,0,0,76.41,0,0,0,0,0.71,23.83,0,0,8.08,0,0
 36-46,0,0,0,4.21,0,0,13.28,0,3.72,0.58,4.13,2.26,0,0,1.07,0,0.77,0,0,13.36,0.65,0,4.35,67,5.53,1.3,5.21,0,0,112.87,0,0,0,0,0,13.85,0,0,1.71,0,0.67
 48-58,0,0,0,6.12,0.43,0,25.64,0,1.29,7.82,14.66,0,0,0,0,0,0,0,0.7,41.5,0.95,0.51,4.3,86,7.85,2.93,6.82,3.66,0,47.83,0,0,0,0,0,18.81,0,0,2.94,0,5.95
 60-70,0,0,0,6.18,0,0,51.92,2.78,7.96,8.39,27.02,0,0,0,0.59,0,0,0,0,28.24,2.63,4.48,3.46,69.35,0,2.4,1.82,0,0,36.58,0,0,0,1.58,0,20.28,3.21,3.61,1.05,0,0
 72-82,0,0,0,2.28,2.14,1.04,30.02,0,0,0.58,18.25,0.72,0,2.31,0.68,0,1.55,2.04,0,66.69,0,0,3.81,86.36,2.22,5.42,4.6,0,0,12.95,0,0,0,0,0,7.62,0,0.5,0,1.16,0
 84-94,0,1.29,0,18.17,0,0,57.85,1.97,7.37,0.94,13.09,2.48,0,0,3.25,1.97,0,0.56,0,37.72,1.01,7.53,1.38,36.78,2.41,2.66,1.96,0,0,27.64,0,0,0,0,0,11.8,0,0,1.42,8.83,0
 96-106,0,1.08,0,3.42,0,0.62,35.01,0.57,2.85,1.33,8.65,3.04,0,0.96,2.13,1,2.31,0,0,28.02,1.44,0.76,15.7,52.96,5.21,4.68,0,0,2.69,24.01,0,0,0,0,0,0,0,0,5.79,3.94,0
108-118,0,0,0.49,5.17,0,7.67,38.89,0.58,1.58,1.42,11.65,2.19,0,0,0.93,0,3.81,2.21,2.8,36.22,0,0,2.45,68.8,1.37,2.88,5.7,0,0,10.58,0,0,0,0,0,2.76,0,0,0,1.09,2.84
120,0,3.29,0,39.57,1.3,0,35.78,0,0,10.14,31.72,1.62,0,0,1.24,0,0,0,0,25.99,0,0,10.68,186.05,10.09,9.85,26.23,0,0,5.59,0,0,1.73,1.22,0,5.17,0,0,1.1,0,0
