stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,112.75,1492.49,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
  5-6,100.29,2132.99,0,0,0,0,44.81,0,0,0,76.26,29.03,0,38.91,0,0,0,0,0
  7-9,70.63,83.59,48.35,0,219.28,0,117.53,0,0,0,1753.76,42.53,615.05,0,0,0,0,0,0
 10-12,0,143.58,60.34,29.37,248.05,0,55.63,0,0,0,2470.64,87.51,973.5,9.32,3.96,121.39,8.52,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.26,3.2,0,0,0,0,0,0,1.34,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.31,1.9,0,0,0.84,0,2.02,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.03,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0.79
 72-82,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.57,0,1.62,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.24,0,2.94,1.78,0.64,0,0,0,0,0,0,0,0,0
