stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.55,0,0,3.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.83,4.2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0
 36-46,0,0,1.06,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.76,0,0,0,1.22,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,1.82
 60-70,0,0,0,0.84,0,0,2.52,0,1.94,0,0,0,0,0,0,0,0,0,0,0.72,0,0
 72-82,0,0,0.63,0,0,0.63,21.93,2.96,0,2.13,1,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.66,0.94,19.2,0,0,6.9,0,0.68,0,0,3.75,0,0,0,0,1.81,0,0
 96-106,0,0,7.79,0,0,0.61,24.3,0,0,5.64,2.67,1.43,0,0,0,0,0,0,0,1.27,0.69,0
108-118,0,1.06,5.48,0,2.02,3.15,33.14,0,0,2.92,0,1.63,0,0,2.45,0.47,0,0,3.58,0,0,0
120,0,0,0,0,0,0,28.62,0,0,0,0,0,2.4,0,0,0,0,1.19,0,6.73,10.56,0
