stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,74.83,0,0,0,51.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.86,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.05,90.81,0,15.96,0,98.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,1113.46,34.2,0,0,88.93,0,0,0,23.83,0,8.05,0,0,0,0
 14-21,0,0,20.1,207.06,48.76,0,80.03,2.02,0,49.89,27.8,8.4,1.35,0,0,0,4.29,166.61,0,0,156.49,1498.55,18.61,1.92,20.99,7.51,0,0,17.69,4.38,88.46,928.54,0,28.08,0,1.91
 24-34,0,0,7.07,58.55,2.77,0,88.71,6.27,1.95,106.73,11.08,6.95,0,7.35,2.05,0.67,11.75,350.93,0,0,150.17,3000.3,7.81,4.38,23.8,0,0,2.01,0,6.04,11.62,1000.42,0,102.55,0,37.43
 36-46,0,0,0,17.53,0.58,0,33.62,3.25,13.07,157.16,3.34,24.6,0,0.91,0.77,1.94,31.8,411.35,0,5.54,91.5,2098.9,0.84,3.17,12.15,0,0,6.28,0,0.62,0,754.46,0,47.12,0,75.99
 48-58,0.39,0,0,3.73,0,0,38.7,1.31,9.7,194.59,0.47,7.37,0,4.13,0,3.53,23.87,424.43,0,4.81,66.96,673.3,0,0,14.21,0,0.98,0.53,0,0.38,0,418.08,1.21,33.71,0,80.39
 60-70,0,0,0,4.9,0,0,35.33,6.1,9.32,114.81,0,6.49,0,11.93,0,0,9.35,526.12,0,12.81,58.04,148.45,0,1.22,10.36,0,12.98,4.64,0,6.55,0,148.32,10.83,35.11,1.98,133.01
 72-82,0,0,0,5.55,0.92,0,47.22,0,13.19,109.95,0,12.14,0,6.7,2.5,0,2.16,671.41,0,18.12,43.5,124.59,1.46,0,18.87,0,19.15,0,0,0.64,0,50.98,24.02,60.39,15.36,96.33
 84-94,0,0,0,1.96,0,0,47.8,0,12.81,94.78,0,3.47,0,22.81,1.45,0,29.07,559.34,0,21.18,35.67,86.8,0,0,19.97,0,9.41,7.74,0,0,0,22.98,14.17,65.16,13.32,32.99
 96-106,0,0,0,1.61,0,0,24.38,0,12.06,73.48,0,8.61,0,15.9,2.7,1.8,6.72,460.22,0,15.21,35.24,117.66,0,0.57,27.49,0,38.69,0,0,0,0,24.41,24.42,59.54,12.62,35.15
108-118,0,0,0,5.42,5.15,2.65,29.45,0.57,10.06,67.22,0,10.77,0,59.8,2.23,0,3.68,543.58,1.15,20.11,24.66,102.3,0,1.45,30.33,0,38.09,5.16,0,0,0,9.26,5.49,26.55,6.19,32.3
120,0,0,0,8.52,0,0,20.36,2.86,0,104.26,0,7.82,0,29.24,0,2.7,0,412.75,0,4.66,22.3,111.27,3.31,2.49,19.64,0,10.44,0,0,0,0,5.96,10.53,49.79,1.96,10.75
