stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,1.28,0,6.51,85.37,4.06,61.76,0,0,27.08,0,4.58,0,0,2.16,0,0,0,0,26.96,0,39.86,1049.35,5.04,0,3.76,10.17,0,0,42.52,1.85,0,17.04,229.79,0,0.81,0
 24-34,0,0,0,13.64,0.84,239.59,0,0,19.42,0,0,0,0,2.2,0.63,0,0,0.65,97.41,0,37.79,1969.19,0,5.26,14.16,0,0,11.65,0,0,0.78,5.78,341.48,0,3.93,0.91
 36-46,0,0,0,18.99,2.87,296.49,0,0,36.7,0,0,1.22,1.9,0.59,0,0.57,1.37,0,80.79,0,17.3,812.31,0.87,0.98,0,0,0,33.75,0,0,0,0,132.72,0,10.3,0
 48-58,0,0,0.4,16.82,0,472.35,0.47,4.98,19.61,0,0,0,0,1.03,0,0,0,0,74.75,2.85,10.18,481.88,0.5,0.4,4.31,0,0,3.55,0,0,0,0,64.4,0,3.64,0.38
 60-70,0,0,0,11.04,0,242.14,0,0,19.1,0,0,0,0,5.28,0,0,0,0,40.06,4.05,9,176.28,0,0.78,1.67,0,1.22,5.38,0,0,0,0,12.61,0,0.98,0
 72-82,0,0,0,8.1,0,66.94,0,1.85,20.54,0,0,0.55,0,0,8.88,0.61,0,0,38.14,4.19,5.74,86.11,0,1.96,2.41,0,0.71,0.57,0,0.77,0,0,10.06,0,2.12,0
 84-94,0,1.11,0,15.9,0,61.76,1.16,2.62,19.99,2.71,0,0,0,2.2,0,0,0,0,40.84,2.73,6.44,53.4,0,2.44,2.22,0,0,1.76,0,0.8,0,0,9.44,0,6.48,0
 96-106,0,0,0,2.55,1.27,30.78,0,0,6.29,0.66,0,0,0,1.09,0,0.71,0,0,15.64,2.72,0,69.4,0,0.68,0,0,0,2.92,0,0,0,0,2.27,0,6.08,0
108-118,0,0,0,2.84,1.13,41.61,0,1.76,16.49,0.42,0,0,0,0.75,0,0,0,0,14.48,2.15,3.32,99.97,0,0.95,0,0,0,6.58,0,0,0,0,0.95,0.92,0,0
120,0,0,0,3.05,0,56.95,0,0,5.7,2.82,0,0,0,0,0,0,0,0,15.26,0,4.15,143.89,0,0,0,0,0,5.23,0,0,0,0,0,0,1.4,0
