stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,0,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,39.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.34,0,0,0,0,3.73,0,0,0,0,0,0,13.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.98,0,0,0,0,0,0,0,0,20.36,5.72,0,0,3.49,0,0,0,0
 14-21,0,0,0,0,0,0,6.45,0,0,0,0,0,17.04,0.86,0,0,0,0,2.89,0.97,5.47
 24-34,0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0.84,7.37
 36-46,0,0,0,0,0,0.57,0.64,0,0,0,0,1.14,2.62,0,0.64,0.56,0,14.33,0,0,5.91
 48-58,0,0,0,0,0,0,7.9,0,0,0,1.06,0.8,0.55,0,0,0,0,2.31,0,0,3.62
 60-70,0,0,0,0,0,1.96,1.49,0,0,0,1.95,0,1.72,0,1.27,0,0,7.01,0,0,0.57
 72-82,0,0,0,0,0,1.19,3.32,0,0,0,0.72,0,1.81,0,1.37,0,0,1.43,0,0,0.63
 84-94,0,0,0,0,0,0,3.59,0,0,0,0,0.59,0,0,0,0.61,0,3.15,0,0,0
 96-106,0,0,0.99,0,0,0,1.14,0,1.02,0,0,0,2.77,0,4.18,0,0,0.69,0,0,3.14
108-118,0,0,0,0,3.8,0.43,0.62,0,0,0,0.46,0,0.51,0,0,0,0,1.39,0,0,0
120,0,0,0,0,0,0,0,2.51,0,3.33,2.32,0,0,0,0,8.73,0,0,0,0,0
