stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.53,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.36,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.6,0,0,2.18,0,0,0,0,0,0
 24-34,0,0,0.96,0,0.62,0,0,0,0,0,0,1.11,1.22,0,0,0,1.04,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.86,1.05,0.42,0,0,0,0
 60-70,0,0,0,0,0,12.59,0,0,0,0,0,0,7.42,0,3.21,0.8,0,0
 72-82,0,0,0,0,0,0.6,0.7,0,0.72,0,0,0.59,0,0,19.97,0,0,0
 84-94,0,0,0,1.34,0,0,2.02,0,0.95,0,0,1.77,0.77,0,53.53,1.08,0,7.48
 96-106,0,12.53,7.05,9.96,0,0,6.61,0.75,1.67,0,1.06,34.34,2.46,0,202.18,0,0,13.65
108-118,0,10.51,1.62,6.66,0,0,2.59,0,0,0,0,2.65,2.38,2.31,303.38,0,0,2.13
120,0,10.8,0,0,0,0,4.04,0,0,1.15,0,0,3.86,0,113.73,0,3.87,13.22
