stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,xanthophores
  3-4,9.79,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,237.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.24,0,0,0,0,7.42,0,0,0,8.77,0,0,0,0,0,24,0,33.2,0,0,0,0,0
 10-12,0,0,0,0,0,14.48,0,0,0,0,0,0,0,0,0,48.02,0,32.32,0,0,0,0,0
 14-21,0,0,1.86,0,0,3.57,0,0,0,0,0,0,3.72,0,3.21,21.99,0,0,0,2.97,5.74,5.53,0
 24-34,0,0,0,0.76,0,3.88,0,0.61,0,0,0,0,1.58,0,0,31.7,0,0,0,0,0,16.81,0
 36-46,0,0,0,0,0,2.49,0,4.83,0,0,0,10.97,2.98,0,0,27.38,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,20.04,0.39,1.55,0,0,0,0,2.54,0,0,19.79,0,0,0,0,0,4.42,0
 60-70,0,0,0,0,0,5.67,0,2.17,0,0,0,0,3.9,0,0,13.85,0,0,0,0,0,0,1.82
 72-82,0,0,0.52,0,0,3.14,0,0.55,0,0,0,0,6.38,0,1.31,9.35,0.81,0,0,0,0,0,2.1
 84-94,0,0,0,0,0,12.77,0,0.6,0,0,0,0,1.46,0,0,10.04,0,0,0.77,0,0,0,0
 96-106,0,0,0,0,0,2.55,0,0,0,0,1.17,0,0.74,0,0,3.11,0,0,0,0,0,0,0
108-118,0,0,0.68,0,1.13,4.95,0,0.55,0,0,0,0,1.18,2.16,1.41,3.09,0,0,0,0,0,0.45,0
120,0,0,0,0,0,0,0,4.8,3.59,0,7.63,0,1.51,0,0,21.82,1.25,0,0,0,0,0,0
