stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,10.2,194.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.93,0,0,0
  5-6,6.8,156.77,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,235.48,0,0,0
  7-9,0,0,0,3.78,0,0,0,0,0,0,0,0,0,30.27,0,0,6.74,66.71,0,0,0
 10-12,0,0,0,0,0,8.28,0,0,0,0,0,0,0,23.49,0,0,0,19.25,0,0,0
 14-21,0,0,0,0,0.87,0,1.01,0,0.81,0,0,0,0,0.95,0,0.88,0,0,0,0,0
 24-34,0,0,0,1.47,0,0,0.61,0,11.76,0,0.9,0,0,0,0,0,0,6.52,2.59,0,0
 36-46,0,0,0,0,0,0,0,0,6.35,0,0,0,0.6,16.46,0,0,0,2.98,2.28,0,0
 48-58,0,0,0,0,0,0,0,0,7.62,0,0,0,2.24,7.35,0.88,0,0,9.82,0,1.68,0
 60-70,0,0,0,0,4,0,2.17,0,3.49,1.39,0,0,0,4.67,1.15,0,0,0,0,0,0
 72-82,0,0,0,0,1.32,0,1.23,0,1.51,0,0,2.29,0,2.59,4.68,0,0,2.77,0,0,0
 84-94,0,0,0,0,0.61,1.99,7.32,0,2.9,0.78,0.57,0,0,2.8,0,0,0,8.6,0.67,1.61,1.86
 96-106,0,0,0,0,1.72,0,2.7,0,1.38,1.15,0,0,3.75,9.16,1.78,0,0,8.69,1.46,0,0.71
108-118,0,0,0,0.44,2.37,2.37,6.36,2.74,2.64,0,6.24,0,0,10.26,0.55,0,0,6.04,0.45,0,1.41
120,0,0,11.31,4.41,0,0,0,0,2.51,10.42,0,0,0,9.5,0,1.98,0,4.49,0,0,0
