stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0,0,8.54,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.18,0,0,0,0.8,0,0,0,0,0.9,7.94,1.04,0,0,0,1.76,0,0,0
 24-34,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,38.72,1.7,0,0,0,11.78,0,0.79,0
 36-46,0,0,0,0,10.48,0,0,0,0,0.6,0,0.79,0,0,57.35,0,0,0,0,6.14,0,0,0
 48-58,0.44,0,0,0,8.41,0,3.78,0,0,0,0.52,0,0,0,55.29,1.22,0,0,0,5.47,0,0,0
 60-70,0,0,0,0,269.64,0,5.02,0,0,0,2.4,0,0.93,0,45.45,0,0,0,0,2.98,0,0,0
 72-82,2.46,0.56,0,0,979.55,0,9.61,0,0,0,10.19,5.11,0,0,63.21,0,0,0,3.65,3.92,0,1.35,0.76
 84-94,0,0.81,2.95,0,482.19,2.72,20.79,0,0,0,5.71,0,0,0,44.1,0,0,0,0,3.91,0,0,0
 96-106,0,1.52,0,0,1203.99,0,9.89,1.58,0,0,27.52,1.23,0,0,72.31,3.43,0,0,0,0,3.07,0,0
108-118,0,0,0.5,4.47,582.91,0,4.12,1.31,0,0,8.74,0,0,0,42.09,0.81,0,0,0.76,0,0,0,0
120,0,0,0,0,342.96,0,36.42,7.43,0,0,20.04,6.27,0,0,103.02,0,10.01,0,0,0,0,0,0
