stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,2.01,0,0,0,0,1.11,0,24.48,0,0,0,0,1.06,0,0,3.51,0,0,0,0,0,1.97,0.83,0,0,0,0
 24-34,1.86,0,0,0,0.65,0,0,0,0.81,69.39,0,0,0,0,0.69,0,1.27,26.68,1.45,0,0,3.16,0,0,2.69,0,0,1.51,0
 36-46,0,0,0,0,1.52,0,0,0,0.87,54.72,0,0,0,0,4.81,8,0.68,56.98,0,0,0,0,1.03,0,5.75,0,0,0,0
 48-58,0,0,0,0,7.65,0,0.55,0.38,0,71.78,0,0,0,0,1.07,0,0,34.98,0,0,2.85,3.86,0,0,5.37,0,0,0,0
 60-70,0,2.8,0,0,6.62,0,1.73,1.72,0,95.8,0,0,0,0,2.1,0,0,14.06,0,0,0,3.76,0,0,0,0,0,0,0
 72-82,0,0.97,0,0,18.64,0,0,1.13,0,54.06,0,2.9,0,0,2,0,3.5,27.78,0,0,0,0,0,0,0,0,0,2.19,0
 84-94,0,0.7,0,0,13.91,0.56,2.08,0.86,0,120.7,0,0,0,0,3.6,0,0,12.47,0.58,0,0,0,0,0,3.81,1.68,0.84,2.81,0
 96-106,0,0,0,0,4.44,0,0,0,0,127.68,0,0,1.14,0,8.18,0,0,9.28,0,0.85,0,0,0,0,1.89,0,0,0,0
108-118,0,1.64,0,2.26,8.79,0,3.8,0,0,66.1,0,0,0,6.91,5.22,0,0,14.12,0,0,0.74,0,0,0,0,0,0,3.24,2.47
120,0,0,0,0,11.21,0,0,0,0,97.67,1.61,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,0,3.36,0
