stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,732.48,1063.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,2237.74,936.89,0,59.27,0,0,0,0,0,0,0,0,274.64,0,0,0,0,0,0,0,0,0,0,0,640.56,238.78,0,0,48.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,4039.45,35.48,0,6684.61,0,0,0,228.12,0,0,0,0,801.51,0,0,0,0,0,0,0,0,0,0,0,5350.53,4711.67,0,0,463.01,0,48.75,0,0,0,0,0,0,0,0,0
 10-12,34.51,30.11,0,2144.84,0,0,0,268.71,0,0,0,0,11.16,0,0,0,0,0,0,0,0,0,0,0,3731.1,2737.59,0,0,311.53,0,4.94,0,5.34,0,0,0,0,0,0,0
 14-21,0,0,19.61,339.41,659.8,3.3,0,7.08,0,0,104.96,11.49,8.42,0,0,0,1.48,0,1.15,0,16.74,0,0,6.41,601.67,977.6,0,0.83,34.09,0,0,1.32,1.38,7.02,2586.36,0,0,0,0,0
 24-34,0,0,35.43,129.77,357.69,0.6,0,2.7,0,0,123.37,0.68,2.59,0,0,0,0,0,19.26,0,3.19,2.05,0,1.27,1173.72,122.59,0,0,0,0.69,0,0,0.6,1.54,1685.92,0,0,0,0,3.57
 36-46,0,0,10.61,15.9,157.3,0,0,13.98,0,0,112.07,3.01,0,0,0,0,1.91,0,12.73,0,5.38,0,0,0.67,1706.48,48.12,0.89,0,0,2.78,0,0,0,0,945.64,0,0,4.77,0,0
 48-58,0,0,6.73,10.07,186.91,0,0,39.09,2.18,0.41,79.67,10.79,0,0,0,0.61,0,0,6.51,1.74,5.61,0,0.66,0.42,1346.29,34.98,2.12,0,0,0,0,0,0,0,677.34,0,0,0.87,0,0
 60-70,0.81,0,11.13,0,142.35,0,0,11.61,0,1.34,86.58,22.92,0,0,0,3.71,0,10.16,13.38,0,22.43,0,0,0,993.99,26.93,0,0,0,0,0,0,0,0,240.88,5.52,0,0,0,0
 72-82,0,0,60.53,1.26,152.62,0,0,55.47,0.5,6.88,133.61,59.49,0.62,1.04,0,4.13,0,1.54,18.37,0.95,13.35,4.08,1.11,0,830.91,7.12,1.27,0,0,2.7,0,0,0,0,256.88,34.49,1.34,7.65,0,0
 84-94,0,0,45.18,1.9,238.76,0,1.44,64.65,0.88,0.75,103.4,103.56,0,7.59,0,10.72,0,0,28.08,0,14.02,2.15,2.75,9.21,574.83,20.61,0,2.44,0,3.48,0,0,0,0,185.66,94.38,0,0.59,0,0
 96-106,0,0,42.19,5.19,237.09,0,1.33,60.15,1.79,0,89.69,173.61,0,0,0.69,19.46,0,0.72,31.77,0,9.16,0,0,4.75,381.64,19.85,0,1.04,0,5.59,6.21,0,0,0,337.9,140.21,0,0,3.18,1.22
108-118,0.67,0,31.05,1.34,167.93,1.22,4.84,9.92,0,0,91.11,154.28,0,0,1.87,13.26,0,0,41.21,0,14.79,4.46,0,0,615.36,23.91,0,0,0,2,0,0,5.26,0,190.82,149.51,0,2.18,2.47,0
120,0,0,15.37,0,156.07,0,0,20.99,0,0,71.02,82.69,0,0,0,2.67,0,0,55.19,0,19.25,4.71,0,0,500.07,56.01,6.01,6.4,0,3.23,0,0,0,0,187.58,68.36,0,0,0,0
