stage,blastomeres,erythrocytes,eye,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.67,0,1.06,3.07,0,0,1.97,0,0
 36-46,0,0,0.71,0,0,0,0,0,0,3.03,0,0,0.87,0,0
 48-58,0,0,2.32,0,1.61,1.44,0,0,0,1.84,0,0.83,0.58,0,0
 60-70,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0
 72-82,0,0,0,1.33,0,0,0.65,0,0,2.2,0,0,0,0,0.55
 84-94,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.27,0,0,0,1.93,0
108-118,0,0,0.49,0,0,0.53,0,0,0,1.64,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0
