stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,85.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0
  7-9,4.07,0,0,0,0,0,0,0,0,0,0,32.49,0,7.29,0,0,0,0,0,0,0
 10-12,0,11.65,0,0,0,3.9,0,0,0,0,0,23.08,0,8.32,0,0,0,0,0,0,0
 14-21,0,0,0.93,0.91,1.07,0,0,0,0,0,0,4.63,0,0,0,2.64,0.88,6.55,0,0,0
 24-34,0,0,0,0,0,0,0,1.16,0,0,0.79,8.73,1.07,0,0,0,0,3.45,0,0.78,0
 36-46,0,0,0,0,0,0,3.94,0,0,0,0,12.55,0,0,1.85,0,0,1.36,0,0,0
 48-58,0,0,0,0,0,2.27,0.55,1.53,0,1.93,0.44,13.66,0,0,0,0,0,0.91,0,0,0
 60-70,0,0,0,0,0,3.77,0.68,0.75,0,1,0,5.66,0.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.15,0,0,0,1.65,0,3.93,0,0,0,0,1.58,0,0,0,0.93
 84-94,0,0,0,0,0,0.63,0,2.86,0,1.59,0,0.78,0,0,0,0,0.71,0,0.64,0,0
 96-106,0,0,0,2.35,0,0,0,4.46,0,4.62,1.84,4.33,0,0,0,0,0,0,0,0.71,0.88
108-118,0,0,0,0.65,0,8.65,1.13,2.74,0,0.61,0,8.76,0,0,0,0,0,0,0,0,0
120,0,0,0,4.93,0,1.01,1.09,0,1.47,0,0,22.9,0,0,0,0,0,0,0,0,0
