stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,27.43,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,16.01,0,7.07,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.97,7.43,9.06,0,0,0,0
 14-21,0,0,0,1.24,0,0,0,0,0,0,0,4.71,0,0,1.61,0,0,0
 24-34,0,0,0.99,1.02,0,0,0,3.27,0.65,0,0,4.72,0,0,4.22,0,1.28,0
 36-46,0,0,0,6.63,2.15,0,0,0,0,0,0,5.05,0,0,3.29,0,0.85,0
 48-58,0,0,0,4.23,0,0.56,0.93,0,0,0.4,0,11.57,0,0,6.72,0,1.8,0.43
 60-70,0,0,0,14.26,0,0,0,0,0,0.6,0,2.51,0,0,0.66,0,0,0
 72-82,0,0,0,5.08,0,0,4.79,0,0,1.78,1.21,3.55,0,0,1.72,0,4.4,0
 84-94,0,0,0.93,6.98,0,0,0.89,0,0,2.25,0,0.97,0,0,0,0,0,0
 96-106,0,0,0.76,3.54,0,0,0,0,0,0,0,20.56,0,0,7.23,3.39,0,0
108-118,0,0,1.77,1.17,0,0,0,0,0,2.24,1.9,12.27,0.71,0,0.47,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,27.07,0,0,0,0,0,0
