stage,blastomeres,erythrocytes,exocrine.pancreas,eye,glial,melanocytes,mesenchyme,muscle,neural,olfactory,pericytes,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.62,0,0,0,0,14.08,0,0,0,0,0,0,0
 10-12,7.14,0,0,0,0,0,0,0,4.69,0,0,0,0,0,0,0
 14-21,0,1.07,0,0,0,0,0.83,0,0,0,0,0,1.49,1.97,0,0
 24-34,0,0,0,0,0,0.74,0,0,3.98,0,0,0.77,0,0,0,0
 36-46,0,0,0,0,0,0,1.73,0.64,1.36,0,0,0.75,0,0,2.2,0
 48-58,0,0,0,0.71,0.77,0,1.59,0,13.55,0,0,0,0,1.93,0.41,2.83
 60-70,0,0,0,0,0,0,1.86,0,2.95,0,0,0,0,0,0,0
 72-82,0,0.52,0,1.42,6.16,0,4.63,0.57,10.72,0,0,1.57,0,0,0,0
 84-94,0,0,0,4.39,6.71,0,5.61,0,3.24,0,0,0,0,0,0,0
 96-106,0,0,0,2.58,0,0,2.9,0.57,1.15,0,1.94,0,0,0,0,0
108-118,0,0,0.47,7.44,0,0.51,4.04,0.59,6.26,1.44,0,0,0,0,0,2.26
120,0,0,0,0,7.43,0,19.49,0,0,0,0,0,0,0,0,0
