stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.13,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.43,0,2.93,0,0,0,78.67,0,0,0,0,0,0,0,4.19,2.95,53.24,0,60.4,28.16,2.07,0,0,3.06,0.81,140.44,0.88,224.33,0,0,0,0
 24-34,0,3.12,0,1.28,0,1.88,0,39.96,0,0,0,0,8.84,0,1.47,3.73,0,241.23,0.75,301.45,23.49,0,0,2.36,0,0,104.54,0.64,164.65,0,0,0.86,0
 36-46,0,0,0,1.65,0.67,1.08,0,34.4,0,0,0,0,2.13,0,0,1.3,0.58,275.29,0.59,248.98,10.16,0,0,0,0,0,47.73,0,112.29,0,0,0,0
 48-58,0,0,0,0,0,5.84,0,61.06,0,0,0,0,3.68,2.56,0.91,2.16,0,237.73,4.25,174.17,7.21,0,0,0,0,0,9.25,0,73.69,0,0,1.36,5.29
 60-70,0,0,0,1.36,0,11.57,0,71.26,1.23,0,0,0,2.47,0,0,0.92,0,322.32,0,147.75,19.77,0,1.19,1.07,0,0,11.49,0,56.45,0,0,0,0
 72-82,0,10.47,0,1.67,0.51,15.53,0,81.91,12.66,0.78,0,0,9.44,0,0,3.28,0,214.86,0,197.45,16.2,0,0,0,0,0,8.94,0,47.15,1.69,0.87,0,0
 84-94,0,9.36,2.75,2.59,0,8.8,0,76.65,12.58,0,0,0,14.78,0,0,5.22,0,156.11,0,243.73,38.62,0,0,0,0,0,13.13,0,35.66,0,0,0,0
 96-106,0,7.06,1.86,0,7.87,12.5,0,68.86,15.02,1.59,0.81,0,21.65,0,0,4.89,0,123.58,0,356.48,39.84,0,0,2.23,0,0,7.97,0,36.07,0,0,0,0
108-118,0,10.78,2.22,0.54,0,11.55,0.76,45.35,0.82,0,0,0.9,17.35,0.79,0,4.29,0.86,145.28,0,240.27,33.1,0,0,0,0,0,8.15,0,21.63,0.67,0,0,0
120,0,3.64,0,0,0,3.18,0,39.96,15.9,0,0,0,12.18,0,0,7.76,0,269.21,0,216.87,28.8,0,0,0,0,0,25.7,0,11.78,0,1.52,0,0
