stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,16.11,349.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0
  5-6,16.75,691.73,0,0,0,0,0,0,0,0,0,0,12.56,0,0,9.15,8.81,0,0
  7-9,11.84,17.27,4.05,0,40.34,0,0,0,7.26,0,0,0,244.57,3.62,0,107.04,0,0,0
 10-12,0,0,40.17,0,6.8,0,0,0,0,0,0,0,139.3,0,0,40.02,0,0,0
 14-21,0,0,0,1.05,0,0,0,0,0,0,0.82,0,7.01,0,0,0,0,1.03,0
 24-34,0,0,0,0,0.65,0,0,0,0,0,3.2,0,13.23,0,1.71,0,0,0.95,0.61
 36-46,0,0,0,0,0.8,0,0,1.37,0,0,0.61,0,9.95,0,0,0,0,0,0
 48-58,0,0,0,0,2.18,1.85,0,0,0,0,3.91,0,0.9,0,0,0,0,1.56,0
 60-70,0,0,0,0,2.68,0,0,0.81,0,0,0,0,1.2,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.56,0,0,0,2.1,0,5.54,0,0,0,0,0,0
 84-94,0,0,0,0,1.95,0,0,0,0,1.41,0,0,0,0,0,0,0,0,4.34
 96-106,0,0,0,0,0.96,0,0,0,0,1.54,0.73,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,3.15,0,2.34,0,0,0.84,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0
