stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,90.43,22.86,0,0,27.62,0,0,0,0,0,0,0,0,1464.73,0,0,35.44,0,0,0,0,0,0,0
 10-12,125.41,5.23,0,14.39,48,0,3.57,0,0,0,0,0,0,2884.85,0,0,47.03,0,0,19.03,0,0,0,0
 14-21,0,0,13.37,2.88,18.84,6.44,0,0,0,0,0,11.52,0.81,1231.19,0,0,0,0,4.95,0,0.89,49.17,0,0
 24-34,0,0,1.51,0.62,122.57,51.87,0,0,0,0.79,0,3,1.53,805.2,2.32,0.68,0,0,0,0,0,118.39,0,2.6
 36-46,0,0,0,0,45.43,33.45,0,0,0,0,0,3.86,0,471.37,0,0,0,0,0,2.02,0,118.11,0,0
 48-58,0,0,0.94,0,29.75,56.57,0,0,0,0,0,0.82,0,324.24,0,0,0,0,0,0.62,0,73.49,0,3.23
 60-70,0,0,0,0,51.33,104.55,0,10.11,0,0,0,10.37,0,194.2,0,0,0,2.98,0,0.64,0,21.98,0,3
 72-82,0,0,0.49,0,20.88,89.14,0,0,0,0,3.49,1.09,0,144.12,0,0,0,0,0,0,0,1.38,0,0
 84-94,0,0,1.37,0,59.9,85.19,0,0,0,0,0,1.7,0,89.46,0,0,0,0,0,0.84,0,27.15,0,0
 96-106,0,0,0,0,10.28,72.88,0,0,0,0,0,2.49,0,83.72,0,0,0,0,0,1.33,0,20.02,0,0
108-118,0,0,0.82,0,21.21,138.44,0,0,1,0,3.03,2.74,0,121.9,0,0,0,0,0,0.42,0,9.77,0.73,0
120,0,0,12.03,4.51,28.64,147.86,0,0,0,0,0,0,0,102.32,0,0,0,0,0,2.78,0,60.83,0,0
