stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,71.65,1401.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.92,0,0,0,0,0,0,0,0,0,0
  5-6,64.09,1006.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.66,0,0,0,0,65.35,0,0,0,0,0,0,0,0,0,0
  7-9,8.4,4.83,0,17.51,0,0,0,20.85,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,208.71,7.15,0,0,71.85,29.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.74,0,32.15,0,0,0,8.02,0,0,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,317.23,15.57,0,0,94.11,6.59,17.77,0,37.17,5.74,0,0,0,0,0,0
 14-21,0,0,0,2.24,12.35,8.67,0,6.6,0,0,0,0,0,0,2.14,0,4.69,0,0,0,0,12.38,0,0,11.3,111.63,2.17,1.2,1.76,4.27,69.97,0,8.6,0.9,11.29,36.01,0,0,8.58,0,0
 24-34,0,0,0,0,6.41,0,0,33.65,0,1,0,2.66,0.65,0,2.93,0,3.11,0,0.72,0,1.91,27.18,2.04,0,11.18,344.97,5.77,7.09,2.21,0,138.49,0,0,0.75,0.61,89.32,0,0,34.52,0,0
 36-46,0,0,0,0,3.72,1.12,0,82.27,0,6.72,0,7.25,0.56,0,0,0,0,3.64,3.8,0,0,21.5,0,0,4.1,256.34,3.28,3.5,2.02,0,202.35,0.81,0,2.56,0,51.54,0,0,8.88,0,16.72
 48-58,0,0,0,0,9.57,0.77,0,113.38,0,2.11,1.8,15.49,0.38,0,2.01,0,0,0,1.08,0,0,39.97,5.96,1.13,6.03,194.49,0.38,1.29,2.96,0,104.68,0,0,0,0,55.36,0,0,6.04,0,0
 60-70,0,0,0,0,13.36,9.29,0,97.63,0,3.73,0,16.17,4.39,1.71,1.7,0,0.59,0.72,6.42,0,0,28.19,0.73,2.03,2.65,247.74,0,0,1.65,0,105.02,0,0,0,0,68.97,0,0,1.19,0,0.96
 72-82,0,0,0,0,16.6,2.27,0,101.28,0,2.2,0.58,19.3,2,0,2.46,2.26,0,0.93,8.6,0,0,37.79,0,4.95,1.86,184.57,0,4.38,3.72,0,62.34,0,0,0,0,104.74,3.06,0.9,17.05,2.87,0
 84-94,0,0,0,0,31.49,5.48,2.96,75.92,0,0,0.67,6.56,2.25,0,1.77,0.69,5.95,0,8.32,0,1.05,17.61,2.48,2.32,6.41,144.5,0,2.83,9.82,0,180.51,0,0,0,0,86.46,3.39,0,13.1,4.65,0
 96-106,0,0,1.17,0,29.43,3.3,0.8,79.1,0.9,1.21,1.33,20.76,6.37,0,1.2,1.74,2.34,3.02,10.85,0,0,13.75,0.7,1.41,2.23,114.58,0,2.56,2.43,0,169.33,0,0,0,0,45.6,2.78,0.85,4.65,4.3,0
108-118,0,0,0,0,32.89,0,0,53.25,0,2.95,0,8.67,2.4,0,0,4.14,2.83,1.18,11.38,2.93,1.12,19.21,0,1.99,1.5,189.71,0,3.52,1.01,0,133.88,0,0,1.36,0,21.3,1.01,1.66,14.13,1.16,0
120,0,0,0,0,20.06,0,0,79.29,0,7.03,0,8.13,1.26,0,0,0,3.26,0,8.9,0,0,24.06,0,0,1.9,271.49,0,13.83,7.3,0,82.47,0,0,0,0,106.93,5.08,2.71,0,4.62,0
