stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51,5.89,0,0,0,0,0,0,0
 14-21,0,0,4.25,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0
 24-34,0,1.05,1,0,0,0,7.07,0,0,2.35,0,0,0,0.75,5.26,0,1.02,0,0,2.58,0,0,0
 36-46,0,0,0,0,0,17.53,1.49,0,0,1.51,0,6.85,0,0,2.2,0,0,0,0,0,0,0.62,0
 48-58,0,0,0,0,0.38,0,1.54,0,0,0,0,0,0,0,0.75,0,0,0,0,0.89,0,0,0
 60-70,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0,3.04,0,1.75,0,0,1.16,0,0,0
 72-82,0,0,0,0,0.88,0,0.74,0,1.86,0,0,3.47,0,0,1.52,0,1.7,0,0,0,0.97,0,0
 84-94,0,0,0,0,1.31,0,1.69,1.47,10.29,0,0,0,0,0,1.44,0,2.38,1.11,0,0.78,0,0,1.77
 96-106,0,0.94,0,0,0,0,2.04,0,4.02,0,1.92,0.94,0,0,0,0,0,1.58,0,0,0,0,0
108-118,0,0,0,0,0,0,2.35,0,7.85,0,2.74,0,3.63,0.81,0.73,0,0,0,0,0,0,0,0
120,0,0,0,3.81,1.1,0,1.96,0,24.57,0,10.74,0,0,0,0,0,0,0,0,0,0,11.22,0
