stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,3.56,0,0,0,0,0,42.55,12.5,0,0,0,0,0,0
 10-12,0,9.75,0,4.68,0,0,0,0,0,0,0,31.88,0,0,0,6.73,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,1.02,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.46,5.92,0,1.91,0,0,0,0,0
 36-46,0,0,0,0.87,0,0,0,0,0,0,1.74,3.12,0,4.37,0,0,0,1.2,0
 48-58,0,0,0,7.79,0,0,0,0,0,0,0,0.79,0,1.79,0,0,0,0.92,0
 60-70,0,0,0,8.01,5.41,0,0,0,0,2.11,0.78,8.36,0,0,0,0,0,0,0.85
 72-82,0,0,0,11.41,0,0,0.55,0,0,0,0,2.3,0,4.13,0,0,0,0,0
 84-94,0,0,0.66,8.48,0,0,0,1.1,0.67,0.83,3.54,1.07,0,4.81,0,0,0,0,0
 96-106,0,0,0,22.3,1.42,0,0.91,0,0,0,0,0.56,0,0,0,0,0.77,0,0
108-118,0,0,0,10.86,0,0,0,0,0,0,0,4.86,0,0.47,0,0,0,3.93,0
120,0,0,5.18,4.86,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0
